n_obs,min_pd,max_pd,mean_pd,observed_default_rate,bads,absolute_calibration_error
31,5.95869160588077e-05,0.0003642325207544455,0.00020421397760491265,0.0,0,0.00020421397760491265
31,0.0003763686920893693,0.0028232504740873378,0.000823987410765164,0.0,0,0.000823987410765164
30,0.003344014653316398,0.03906362038871387,0.01757111411421018,0.0,0,0.01757111411421018
31,0.04946429860250374,0.441147257981743,0.2757376972471074,0.22580645161290322,7,0.049931245634204174
30,0.4452242556612247,0.5802839270277332,0.5126815660231738,0.6333333333333333,19,0.12065176731015947
31,0.6020263202587212,0.6760842098959768,0.6413154600495986,0.5806451612903226,18,0.06067029875927599
30,0.6797346419867536,0.7590573096873137,0.7210719839702784,0.7333333333333333,22,0.012261349363054896
31,0.7654775165733939,0.8365060010838493,0.7981916544913643,0.8709677419354839,27,0.07277608744411956
30,0.8396660472518457,0.901453617694626,0.8720066142866361,1.0,30,0.12799338571336394
31,0.901542307918103,0.993444181203156,0.954467963199335,0.967741935483871,30,0.013273972284535973
