feature,coefficient,importance
num__act_ccss_n_statC,-1.7358303820737262,1.7358303820737262
num__app_number_of_children,-0.7280584472658935,0.7280584472658935
num__act_cc,0.5371081563406367,0.5371081563406367
cat__app_char_job_code_Retired,-0.4526886019389642,0.4526886019389642
num__act_age,-0.42838487789842056,0.42838487789842056
cat__app_char_gender_Male,0.2687498515372855,0.2687498515372855
cat__app_char_marital_status_Divorced,0.1805959330741677,0.1805959330741677
num__act_ccss_utl,-0.1707418424924252,0.1707418424924252
num__eng_act_cc_to_income,0.1561218410634159,0.1561218410634159
num__agr12_Mean_CMaxC_Due,0.11839291687275269,0.11839291687275269
num__agr6_Min_CMaxA_Due,0.11837874421763692,0.11837874421763692
num__act_ccss_n_loans_act,-0.11741021863650555,0.11741021863650555
cat__app_char_city_Big,0.11739565697923696,0.11739565697923696
num__act_cins_min_seniority,0.09906531091096518,0.09906531091096518
num__agr9_Mean_CMaxC_Due,0.08928300559485751,0.08928300559485751
num__act_ccss_dueutl,0.08556203018229332,0.08556203018229332
num__ags12_Mean_CMaxC_Due,0.08170959472340046,0.08170959472340046
num__act_ccss_n_statB,0.07947289000799385,0.07947289000799385
num__app_spendings,0.07259715237354031,0.07259715237354031
num__missingindicator_agr6_Min_CMaxA_Due,0.07063296380490107,0.07063296380490107
num__act_cins_min_lninst,-0.06829686938656658,0.06829686938656658
num__ags12_Max_CMaxC_Days,-0.06744298023983594,0.06744298023983594
num__agr6_Mean_CMaxC_Due,0.06019587717466983,0.06019587717466983
num__agr3_Mean_CMaxC_Due,0.05849209449897541,0.05849209449897541
num__ags6_Min_CMaxA_Due,0.05817381039391142,0.05817381039391142
num__ags12_Min_CMaxA_Days,-0.05547913159104029,0.05547913159104029
num__act_cins_min_pninst,0.04487858712639883,0.04487858712639883
num__agr12_Min_CMaxC_Days,-0.04451162380280324,0.04451162380280324
num__missingindicator_agr12_Mean_CMaxC_Due,-0.043246649320853515,0.043246649320853515
num__missingindicator_agr9_Mean_CMaxA_Days,0.04317564302129096,0.04317564302129096
num__act_cins_n_loans_act,-0.041652266013752576,0.041652266013752576
num__act_cins_maxdue,0.04018770087235933,0.04018770087235933
num__ags9_Min_CMaxI_Due,0.036373962414354484,0.036373962414354484
num__missingindicator_agr3_Min_CMaxC_Days,0.02621745773136107,0.02621745773136107
num__agr12_Min_CMaxC_Due,-0.026122791785959047,0.026122791785959047
num__ags12_Max_CMaxI_Days,0.023988847967839382,0.023988847967839382
cat__app_char_home_status_Owner,0.02280277550039454,0.02280277550039454
num__agr12_Min_CMaxI_Days,-0.022493443895468247,0.022493443895468247
num__agr12_Mean_CMaxI_Days,-0.018511108297977724,0.018511108297977724
num__agr12_Mean_CMaxA_Due,0.016858962718236555,0.016858962718236555
num__act3_n_arrears_days,0.016728635346740177,0.016728635346740177
num__agr6_Mean_CMaxA_Due,0.01620970623682183,0.01620970623682183
num__agr12_Max_CMaxI_Days,0.0160193935544604,0.0160193935544604
num__missingindicator_agr12_Min_CMaxC_Due,-0.014983225761517217,0.014983225761517217
num__missingindicator_agr9_Max_CMaxI_Days,0.013618034032779794,0.013618034032779794
num__agr9_Max_CMaxI_Days,0.012481036584315519,0.012481036584315519
num__missingindicator_ags6_Min_CMaxI_Due,0.010054947666530043,0.010054947666530043
num__missingindicator_agr3_Mean_CMaxC_Days,0.009289134965866237,0.009289134965866237
num__missingindicator_agr6_Min_CMaxA_Days,0.008502856444012797,0.008502856444012797
num__agr9_Max_CMaxC_Due,0.008303572333911137,0.008303572333911137
