Variable,Gini train,Gini test,n_buckets,weighted_BR_train,min_BR,max_BR,BR_spread,highest_BR_bucket,highest_BR_bucket_share,highest_BR_bucket_all,highest_BR_bucket_bad,lowest_BR_bucket,lowest_BR_bucket_share,lowest_BR_bucket_all,lowest_BR_bucket_bad
act_ccss_dueutl,0.3868960705528632,0.4558183430091229,5,0.509641873278237,0.1715976331360947,0.8567774936061381,0.6851798604700434,0.023 <= act_ccss_dueutl,0.0979213623841723,391,335,0.003 <= act_ccss_dueutl < 0.009,0.04232406711745555,169,29
agr12_Mean_CMaxC_Days,0.4106388959300094,0.4512197214516545,5,0.509641873278237,0.08052434456928839,0.741871921182266,0.6613475766129776,agr12_Mean_CMaxC_Days < 14.375,0.2541948409717005,1015,753,14.708 <= agr12_Mean_CMaxC_Days,0.1337340345604808,534,43
agr12_Mean_CMaxA_Days,0.4703001357751102,0.464323505019018,5,0.509641873278237,0.1339869281045752,0.7678437265214124,0.6338567984168373,agr12_Mean_CMaxA_Days < 14.375,0.3333333333333333,1331,1022,14.708 <= agr12_Mean_CMaxA_Days,0.1532682193839218,612,82
act_ccss_n_statC,0.4213555927549799,0.4082134584036377,5,0.5096418732782368,0.04605263157894737,0.651890482398957,0.6058378508200096,act_ccss_n_statC < 1.5,0.5762584522915102,2301,1500,10.500 <= act_ccss_n_statC,0.1522664663160531,608,28
ags9_Min_CMaxC_Days,0.4915181966254489,0.4810364057539966,5,0.5096418732782368,0.1790540540540541,0.7774269928966061,0.598372938842552,ags9_Min_CMaxC_Days < 11.5,0.317305284247433,1267,985,13.500 <= ags9_Min_CMaxC_Days,0.148259454044578,592,106
ags12_Min_CMaxA_Days,0.4979382762835265,0.4866588497726427,5,0.5096418732782368,0.1972555746140652,0.7946666666666666,0.5974110920526015,ags12_Min_CMaxA_Days < 8.5,0.09391435011269722,375,298,13.500 <= ags12_Min_CMaxA_Days,0.1460055096418733,583,115
act_ccss_min_lninst,0.5009587078024258,0.490353762118569,5,0.5096418732782368,0.2025139664804469,0.7958297132927888,0.593315746812342,6.500 <= act_ccss_min_lninst,0.2882544452792387,1151,916,act_ccss_min_lninst < 1.5,0.1793137991485099,716,145
agr6_Mean_CMaxC_Days,0.3971015402067497,0.3810106672005034,5,0.509641873278237,0.1836327345309381,0.7512908777969018,0.5676581432659638,agr6_Mean_CMaxC_Days < 14.25,0.2910092662158778,1162,873,14.750 <= agr6_Mean_CMaxC_Days,0.1254695717505635,501,92
act12_n_good_days,0.4840272252938238,0.5013927417279147,5,0.5096418732782368,0.2593085106382979,0.758274231678487,0.49896572104018905,4.500 <= act12_n_good_days,0.4237415477084899,1692,1283,act12_n_good_days < 2.5,0.1883295767593288,752,195
agr6_Min_CMaxA_Due,0.2457223311155896,0.2685617868275803,3,0.509641873278237,0.3532219570405728,0.8490566037735849,0.49583464673301214,0.500 <= agr6_Min_CMaxA_Due,0.06636614074630603,265,225,agr6_Min_CMaxA_Due = Missing,0.3148009015777611,1257,444
agr6_Mean_CMaxA_Days,0.4050025975460092,0.3750679211828296,5,0.509641873278237,0.2512647554806071,0.7398485891259463,0.4885838336453392,agr6_Mean_CMaxA_Days < 14.417,0.3638868019033308,1453,1075,14.750 <= agr6_Mean_CMaxA_Days,0.1485098923115452,593,149
act_cins_min_seniority,0.3873771812484783,0.4523293390911429,5,0.5096418732782368,0.2388737511353315,0.7133333333333334,0.4744595821980019,16.5 <= act_cins_min_seniority < 31.5,0.2629601803155522,1050,749,55.500 <= act_cins_min_seniority,0.275732531930879,1101,263
agr6_Mean_CMaxA_Due,0.3374651464539107,0.3820745274115596,5,0.509641873278237,0.3532219570405728,0.8198614318706697,0.46663947483009693,0.917 <= agr6_Mean_CMaxA_Due,0.1084397695967944,433,355,agr6_Mean_CMaxA_Due = Missing,0.3148009015777611,1257,444
act_ccss_seniority,0.3005629271206391,0.1995824634655532,5,0.5096418732782368,0.3155893536121673,0.7762237762237763,0.460634422611609,act_ccss_seniority < 31.5,0.1790633608815427,715,555,128.500 <= act_ccss_seniority,0.1317305284247433,526,166
agr3_Min_CMaxA_Due,0.3243137835579102,0.3709440329453484,3,0.509641873278237,0.3137598597721297,0.7634543178973717,0.449694458125242,0.500 <= agr3_Min_CMaxA_Due,0.2001001753067869,799,610,agr3_Min_CMaxA_Due = Missing,0.2857500626095668,1141,358
act_ccss_min_seniority,0.3463417266277329,0.3191237452455173,5,0.509641873278237,0.3064748201438849,0.7533081285444234,0.44683330840053853,4.5 <= act_ccss_min_seniority < 16.5,0.2649636864512898,1058,797,33.500 <= act_ccss_min_seniority,0.1740545955421988,695,213
ags12_Max_CMaxA_Due,0.3206581453772466,0.3445820344896615,5,0.5096418732782368,0.2829218106995885,0.7265973254086181,0.4436755147090296,1.5 <= ags12_Max_CMaxA_Due < 2.5,0.1685449536689206,673,489,ags12_Max_CMaxA_Due = Missing,0.2434259954921112,972,275
ags3_Mean_CMaxC_Due,0.3199212956107749,0.3867189063974603,5,0.509641873278237,0.3623188405797101,0.7983425414364641,0.436023700856754,1.167 <= ags3_Mean_CMaxC_Due,0.09065865264212372,362,289,ags3_Mean_CMaxC_Due = Missing,0.3283245679939895,1311,475
act3_n_good_days,0.389750108544797,0.3606657705836931,5,0.509641873278237,0.2764578833693305,0.7116704805491991,0.4352125971798686,2.500 <= act3_n_good_days,0.1094415226646632,437,311,act3_n_good_days = Missing,0.2319058352116203,926,256
agr3_Max_CMaxC_Due,0.2951143547670616,0.3654988989618784,4,0.509641873278237,0.3659447348767737,0.8009950248756219,0.4350502899988482,1.500 <= agr3_Max_CMaxC_Due,0.1006761833208114,402,322,agr3_Max_CMaxC_Due = Missing,0.3353368394690709,1339,490
ags3_Max_CMaxC_Days,0.2502084311073074,0.2683501587210799,4,0.5096418732782368,0.3651389932381668,0.8,0.43486100676183326,ags3_Max_CMaxC_Days < 13.5,0.04257450538442274,170,136,ags3_Max_CMaxC_Days = Missing,0.3333333333333333,1331,486
act_ccss_cc,0.3317392515553907,0.257396974290045,5,0.5096418732782368,0.3107142857142857,0.7388429752066116,0.42812868949232585,0.748 <= act_ccss_cc < 0.981,0.1515151515151515,605,447,1.369 <= act_ccss_cc,0.07012271475081393,280,87
ags12_Mean_CMaxI_Due,0.3037236512210975,0.2808819744330369,5,0.5096418732782368,0.36962890625,0.7959183673469388,0.42628946109693877,0.437 <= ags12_Mean_CMaxI_Due,0.02454295016278487,98,78,ags12_Mean_CMaxI_Due = Missing,0.5128975707488104,2048,757
ags6_Mean_CMaxI_Due,0.2328249504960436,0.203060028026425,4,0.5096418732782368,0.4199517296862429,0.845360824742268,0.42540909505602514,0.450 <= ags6_Mean_CMaxI_Due,0.02429251189581768,97,82,ags6_Mean_CMaxI_Due = Missing,0.6225895316804407,2486,1044
ags6_Mean_CMaxC_Due,0.335750264146587,0.4012640489604484,5,0.5096418732782368,0.3565891472868217,0.7813822284908322,0.4247930812040105,0.708 <= ags6_Mean_CMaxC_Due,0.1775607312797395,709,554,ags6_Mean_CMaxC_Due = Missing,0.3230653643876784,1290,460
ags3_Mean_CMaxC_Days,0.3809583564435455,0.3084965824920638,5,0.509641873278237,0.3414634146341464,0.7612655800575263,0.4198021654233799,ags3_Mean_CMaxC_Days < 13.833,0.2612071124467819,1043,794,14.583 <= ags3_Mean_CMaxC_Days,0.2258953168044077,902,308
act_cins_maxdue,0.1724798156871701,0.1494609202962793,3,0.509641873278237,0.44994617868676,0.8636363636363636,0.41369018494960363,0.500 <= act_cins_maxdue,0.02203856749311295,88,76,act_cins_maxdue = Missing,0.6979714500375658,2787,1254
ags3_Mean_CMaxA_Days,0.3921830178214245,0.3648411359281609,5,0.509641873278237,0.3130590339892665,0.7265275707898659,0.41346853680059936,ags3_Mean_CMaxA_Days < 14.167,0.3360881542699725,1342,975,ags3_Mean_CMaxA_Days = Missing,0.2799899824693213,1118,350
ags3_Max_CMaxA_Days,0.265297287258472,0.2729087425286698,3,0.5096418732782368,0.3130590339892665,0.7169811320754716,0.40392209808620516,ags3_Max_CMaxA_Days < 14.5,0.1194590533433509,477,342,ags3_Max_CMaxA_Days = Missing,0.2799899824693213,1118,350
ags9_Mean_CMaxC_Due,0.3220259353047914,0.3979523550776447,5,0.509641873278237,0.3523274478330658,0.7557959814528593,0.4034685336197935,0.690 <= ags9_Mean_CMaxC_Due,0.1620335587277736,647,489,ags9_Mean_CMaxC_Due = Missing,0.3120460806411219,1246,439
app_number_of_children,0.1833084454126332,0.1473446392312752,4,0.509641873278237,0.1868131868131868,0.5749516441005803,0.3881384572873935,app_number_of_children < 0.5,0.5179063360881543,2068,1189,2.500 <= app_number_of_children,0.06836964688204357,273,51
act_ccss_min_pninst,0.3387473553969982,0.3528126519289616,5,0.509641873278237,0.3655430711610487,0.7421965317919075,0.37665346063085875,3.5 <= act_ccss_min_pninst < 11.5,0.2166291009266216,865,642,act_ccss_min_pninst = Missing,0.3343350864012021,1335,488
agr6_Mean_CMaxI_Due,0.1560706030573242,0.1487745588697915,4,0.5096418732782368,0.4587125042130098,0.8285714285714286,0.36985892435841883,0.417 <= agr6_Mean_CMaxI_Due,0.01753067868770348,70,58,agr6_Mean_CMaxI_Due = Missing,0.7430503380916604,2967,1361
ags9_Max_CMaxI_Due,0.2715436952413459,0.2540566820144707,3,0.5096418732782368,0.3948649845064188,0.7647058823529411,0.3698408978465223,0.500 <= ags9_Max_CMaxI_Due,0.0638617580766341,255,195,ags9_Max_CMaxI_Due = Missing,0.5657400450788881,2259,892
ags3_Max_CMaxI_Due,0.1942896652804722,0.1676666571338692,3,0.509641873278237,0.4399851356373096,0.803030303030303,0.36304516739299336,0.500 <= ags3_Max_CMaxI_Due,0.03305785123966942,132,106,ags3_Max_CMaxI_Due = Missing,0.6739293764087152,2691,1184
act12_n_arrears_days,0.2249705736937608,0.2233019704292618,3,0.509641873278237,0.2764578833693305,0.6363636363636364,0.3599057529943058,0.500 <= act12_n_arrears_days,0.04958677685950413,198,126,act12_n_arrears_days = Missing,0.2319058352116203,926,256
agr12_Max_CMaxA_Due,0.2681151854798434,0.3213544198816027,4,0.5096418732782368,0.3770848440899202,0.7274011299435028,0.3503162858535826,1.500 <= agr12_Max_CMaxA_Due,0.1773102930127723,708,515,agr12_Max_CMaxA_Due = Missing,0.3453543701477586,1379,520
ags9_Mean_CMaxI_Days,0.2797777906051655,0.2602568135670775,5,0.5096418732782368,0.3955849889624724,0.7421383647798742,0.34655337581740175,ags9_Mean_CMaxI_Days < 11.944,0.07963936889556725,318,236,ags9_Mean_CMaxI_Days = Missing,0.5672426746806912,2265,896
act_loaninc,0.1957525730763727,0.2504189664540855,4,0.509641873278237,0.2941176470588235,0.6380208333333334,0.3439031862745099,4.696 <= act_loaninc,0.2885048835462058,1152,735,4.291 <= act_loaninc < 4.696,0.05960430753819183,238,70
ags12_Max_CMaxA_Days,0.2285898211332329,0.2328252352217803,3,0.509641873278237,0.2946341463414634,0.6363636363636364,0.34172949002217295,15.500 <= ags12_Max_CMaxA_Days,0.04958677685950413,198,126,ags12_Max_CMaxA_Days = Missing,0.2566992236413724,1025,302
act_cins_utl,0.1784032244706402,0.1492950496182113,5,0.5096418732782371,0.44994617868676,0.7894736842105263,0.3395275055237663,0.986 <= act_cins_utl,0.01903330828950664,76,60,act_cins_utl = Missing,0.6979714500375658,2787,1254
