business_group,raw_feature,coefficient_abs_sum_css_submodel,coefficient_abs_sum_ins_submodel,importance_share_css_submodel,importance_share_ins_submodel,signed_coefficient_sum_css_submodel,signed_coefficient_sum_ins_submodel,importance_gap_ins_minus_css,same_direction_css_ins
Current cash-loan behaviour,act_ccss_n_statC,2.050343973078858,0.05703846449705049,0.1695825458286026,0.0101010110069834,-2.050343973078858,0.05703846449705049,-0.1594815348216192,False
Current call-loan behaviour,act_call_cc,0.2641397358053186,0.3961058530320571,0.021846816651499297,0.07014686697279968,0.2641397358053186,0.3961058530320571,0.04830005032130038,True
Current credit-card behaviour,act_cc,0.6541692060513598,0.05284428652949362,0.05410588702259599,0.009358258932762854,0.6541692060513598,0.05284428652949362,-0.04474762808983314,True
Application profile,app_char_city,0.6429646253084138,0.05117784887462609,0.05317916382284056,0.009063147462938155,-0.6429646253084138,-0.05117784887462609,-0.04411601635990241,True
Historical arrears behaviour,agr12_Mean_CMaxA_Days,0.015024780063754935,0.2541485263245508,0.001242689269303595,0.04500747143965715,0.015024780063754935,-0.2541485263245508,0.04376478217035355,False
Current customer state,act_age,0.8009183069616272,0.6178462281114889,0.06624340465728437,0.10941513951694908,-0.8009183069616272,-0.6178462281114889,0.043171734859664704,True
Application affordability,app_income,0.40905706356438976,0.0003008577762438327,0.03383282958334803,5.327926928209385e-05,0.40905706356438976,0.0003008577762438327,-0.03377955031406594,True
Historical arrears behaviour,ags6_Mean_CMaxC_Due,0.0,0.16639674533426835,0.0,0.029467401883418034,0.0,0.16639674533426835,0.029467401883418034,False
Historical arrears behaviour,agr12_Min_CMaxI_Due,0.0,0.1519220262961581,0.0,0.02690405629520529,0.0,0.1519220262961581,0.02690405629520529,False
Application affordability,app_number_of_children,0.9503181022689011,0.2962213463528316,0.07860015941021245,0.052458198277201516,-0.9503181022689011,-0.2962213463528316,-0.026141961133010934,True
Application profile,app_char_gender,0.6063345719489429,0.14476641586635025,0.0501495171956901,0.02563686054667822,0.6063345719489429,0.14476641586635025,-0.02451265664901188,True
Historical arrears behaviour,ags3_Max_CMaxI_Days,0.08502608188260888,0.1760553597638377,0.007032449002121397,0.031177857652618025,0.08502608188260888,-0.1760553597638377,0.02414540865049663,False
Historical arrears behaviour,ags9_Max_CMaxI_Days,0.0,0.13601594798533118,0.0,0.02408722955359637,0.0,-0.13601594798533118,0.02408722955359637,False
Historical arrears behaviour,agr12_Max_CMaxI_Days,0.0,0.13301452416351708,0.0,0.02355570376081606,0.0,0.13301452416351708,0.02355570376081606,False
Historical arrears behaviour,ags6_Max_CMaxI_Days,0.0,0.12030648063472604,0.0,0.021305220885910123,0.0,-0.12030648063472604,0.021305220885910123,False
Historical arrears behaviour,agr6_Min_CMaxA_Due,0.24620236421021138,0.0,0.020363228931335353,0.0,0.24620236421021138,0.0,-0.020363228931335353,False
Historical arrears behaviour,ags3_Max_CMaxC_Days,0.0,0.09428725418778351,0.0,0.01669744444853161,0.0,0.09428725418778351,0.01669744444853161,False
Historical arrears behaviour,ags3_Mean_CMaxC_Days,0.057749715268961194,0.1143048939413016,0.004776439399815136,0.020242392603553743,0.057749715268961194,-0.1143048939413016,0.015465953203738607,False
Current customer state,act_loaninc,0.2032072308936756,0.008151346737036174,0.016807130900081804,0.00144353190147323,0.2032072308936756,0.008151346737036174,-0.015363598998608573,True
Historical arrears behaviour,ags12_Min_CMaxA_Days,0.18524151302935069,0.0,0.0153211986794039,0.0,-0.18524151302935069,0.0,-0.0153211986794039,False
Application profile,app_char_home_status,0.3583978049434344,0.08272439908234475,0.029642836996967122,0.014649764383472515,-0.3583978049434344,-0.08272439908234475,-0.014993072613494607,True
Other,act3_n_arrears_days,0.1980108328827568,0.012145965180644683,0.016377340379368818,0.002150943737036843,0.1980108328827568,0.012145965180644683,-0.014226396642331975,True
Current instalment-loan behaviour,act_cins_min_seniority,0.4000041317902471,0.10856716288507813,0.033084067796238514,0.01922629083670094,0.4000041317902471,-0.10856716288507813,-0.013857776959537573,False
Application affordability,app_n_installments,0.0,0.07730532827472406,0.0,0.01369009454737043,0.0,0.07730532827472406,0.01369009454737043,False
Application profile,app_char_cars,0.1616077014005877,0.0,0.013366462305281804,0.0,0.1616077014005877,0.0,-0.013366462305281804,False
Historical arrears behaviour,agr6_Mean_CMaxA_Due,0.32564339310488793,0.22725682801147692,0.026933742025766604,0.04024518789903198,0.32564339310488793,0.22725682801147692,0.013311445873265378,True
Historical arrears behaviour,agr12_Mean_CMaxC_Days,0.010920439528983871,0.07914056561013529,0.000903222074543667,0.01401509895779551,-0.010920439528983871,-0.07914056561013529,0.013111876883251843,True
Historical arrears behaviour,ags12_Mean_CMaxI_Due,0.0,0.07384382295893453,0.0,0.013077092363601448,0.0,0.07384382295893453,0.013077092363601448,False
Historical arrears behaviour,agr9_Min_CMaxC_Days,0.0,0.07244256355435774,0.0,0.012828941632440003,0.0,-0.07244256355435774,0.012828941632440003,False
Historical arrears behaviour,agr12_Min_CMaxI_Days,0.1543008916174078,0.0,0.012762121072207479,0.0,-0.1543008916174078,0.0,-0.012762121072207479,False
Historical arrears behaviour,agr9_Max_CMaxI_Days,0.08097778438589323,0.10709448525203563,0.006697617088657776,0.018965492564652967,0.08097778438589323,-0.10709448525203563,0.012267875475995192,False
Application profile,app_char_marital_status,0.3201924644631511,0.21813041016582455,0.026482899450894788,0.03862897946975298,-0.3201924644631511,-0.058853989824486114,0.012146080018858193,True
Historical arrears behaviour,ags3_Max_CMaxA_Days,0.1441954017842593,0.0,0.011926302928885402,0.0,-0.1441954017842593,0.0,-0.011926302928885402,False
Current instalment-loan behaviour,act_cins_min_pninst,0.0,0.06463061177187118,0.0,0.011445513595996267,0.0,-0.06463061177187118,0.011445513595996267,False
Historical arrears behaviour,ags12_Max_CMaxA_Due,0.1263990211531603,0.12149119320098764,0.010454376474796457,0.021515023074265643,0.1263990211531603,0.12149119320098764,0.011060646599469186,True
Historical arrears behaviour,agr6_Mean_CMaxI_Due,0.061425216120894396,0.08562615192385929,0.005080437558099799,0.015163639321203341,-0.061425216120894396,-0.08562615192385929,0.010083201763103542,True
Current instalment-loan behaviour,act_cins_utl,0.11851695456917434,0.0,0.009802456145693958,0.0,0.11851695456917434,0.0,-0.009802456145693958,False
Historical arrears behaviour,agr6_Max_CMaxI_Days,0.00808166522294979,0.05811743453500223,0.0006684289958354201,0.010292087122472439,0.00808166522294979,0.05811743453500223,0.009623658126637019,True
Current cash-loan behaviour,act_ccss_n_statB,0.24648310578089389,0.06350577853675313,0.020386448874379726,0.011246315511175177,0.24648310578089389,0.06350577853675313,-0.00914013336320455,True
Historical arrears behaviour,agr6_Max_CMaxC_Days,0.04128137236557083,0.07047960705235472,0.0034143540366740085,0.012481319279562893,-0.04128137236557083,0.07047960705235472,0.009066965242888884,False
Current cash-loan behaviour,act_ccss_min_pninst,0.027987520465036084,0.0632719697489758,0.002314828650318564,0.011204910028757422,-0.027987520465036084,-0.0632719697489758,0.008890081378438858,True
Current cash-loan behaviour,act_ccss_min_seniority,0.1823612391455816,0.13213996965765137,0.015082973199042313,0.02340082784036744,0.1823612391455816,-0.13213996965765137,0.008317854641325128,False
Historical arrears behaviour,ags9_Mean_CMaxI_Days,0.09621404042747765,0.0,0.007957797391257635,0.0,-0.09621404042747765,0.0,-0.007957797391257635,False
Historical arrears behaviour,agr6_Min_CMaxI_Days,0.002941111939178749,0.04260199003708882,0.00024325735425938095,0.007544438197600563,-0.002941111939178749,0.04260199003708882,0.0073011808433411825,False
Historical arrears behaviour,agr6_Mean_CMaxA_Days,0.11145187202163118,0.09259833655507188,0.009218108006731464,0.016398351972106498,0.11145187202163118,0.09259833655507188,0.0071802439653750345,True
Historical arrears behaviour,ags3_Mean_CMaxC_Due,0.0,0.03989377998098042,0.0,0.007064837986984994,0.0,-0.03989377998098042,0.007064837986984994,False
Historical arrears behaviour,agr9_Min_CMaxA_Due,0.06061239427587051,0.06694718324952026,0.0050132096199615615,0.011855758054723012,0.06061239427587051,-0.06694718324952026,0.00684254843476145,False
Historical arrears behaviour,ags3_Mean_CMaxA_Days,0.025701918947487155,0.04977465382871125,0.0021257881141037373,0.008814653946699419,-0.025701918947487155,0.04977465382871125,0.006688865832595682,False
Current cash-loan behaviour,act_ccss_seniority,0.08066024055541592,0.0,0.006671353255909924,0.0,-0.08066024055541592,0.0,-0.006671353255909924,False
Historical arrears behaviour,ags12_Max_CMaxI_Days,0.07612088757980093,0.0,0.006295906480087482,0.0,0.07612088757980093,0.0,-0.006295906480087482,False
Current instalment-loan behaviour,act_cins_n_loans_act,0.06891216004673754,0.06746649038945327,0.005699677562748346,0.01194772278734199,-0.06891216004673754,0.06746649038945327,0.006248045224593643,False
Historical arrears behaviour,ags12_Max_CMaxA_Days,0.0645101786173343,0.06373135033013384,0.005335592693433726,0.011286262294243317,-0.0645101786173343,0.06373135033013384,0.005950669600809591,False
Historical arrears behaviour,ags12_Min_CMaxA_Due,0.001849837109812443,0.03303964992516812,0.00015299876048561594,0.005851031764332631,-0.001849837109812443,0.03303964992516812,0.005698033003847015,False
Historical arrears behaviour,agr12_Min_CMaxA_Due,0.06834551110271274,0.0,0.00565281041665943,0.0,-0.06834551110271274,0.0,-0.00565281041665943,False
Historical arrears behaviour,ags12_Min_CMaxI_Days,0.13352946696030868,0.09200106838570742,0.01104413076419666,0.01629258102602531,0.13352946696030868,-0.09200106838570742,0.005248450261828651,False
Current instalment-loan behaviour,act_cins_maxdue,0.10623104216085323,0.020712310869438574,0.008786296744448857,0.0036679683073004123,0.10623104216085323,0.020712310869438574,-0.005118328437148445,True
Current cash-loan behaviour,act_ccss_dueutl,0.06178206348033769,0.0,0.005109952158811277,0.0,0.06178206348033769,0.0,-0.005109952158811277,False
Historical arrears behaviour,agr12_Max_CMaxA_Due,0.059014486465643466,0.0,0.004881047759310053,0.0,0.059014486465643466,0.0,-0.004881047759310053,False
Historical arrears behaviour,ags9_Min_CMaxI_Due,0.05786698970762521,0.0,0.004786139088321256,0.0,0.05786698970762521,0.0,-0.004786139088321256,False
Other,act12_n_good_days,0.057670621366966275,0.0,0.004769897597348853,0.0,-0.057670621366966275,0.0,-0.004769897597348853,False
Current cash-loan behaviour,act_ccss_cc,0.061707717069767534,0.05498444856012962,0.005103803018109401,0.009737262828095627,-0.061707717069767534,-0.05498444856012962,0.004633459809986226,True
Current instalment-loan behaviour,act_cins_n_statB,0.05481760878378083,0.0,0.004533926880488547,0.0,-0.05481760878378083,0.0,-0.004533926880488547,False
Historical arrears behaviour,ags9_Mean_CMaxC_Due,0.07525737750842458,0.010020881016565744,0.00622448615346163,0.0017746099994195288,0.07525737750842458,-0.010020881016565744,-0.004449876154042101,False
Current instalment-loan behaviour,act_cins_n_loan,0.04872856825803398,0.0,0.004030306508703267,0.0,-0.04872856825803398,0.0,-0.004030306508703267,False
Historical arrears behaviour,agr3_Max_CMaxC_Due,0.0,0.018721399153420453,0.0,0.0033153953315943224,0.0,0.018721399153420453,0.0033153953315943224,False
Other,act12_n_arrears_days,0.14900512332865926,0.0534295292258811,0.012324111703869253,0.009461900273217808,-0.14900512332865926,-0.0534295292258811,-0.002862211430651445,True
Application affordability,app_installment,0.0,0.014689868662580248,0.0,0.0026014466967205366,0.0,-0.014689868662580248,0.0026014466967205366,False
Other,act3_n_good_days,0.0,0.014149663428023835,0.0,0.0025057810951234507,0.0,-0.014149663428023835,0.0025057810951234507,False
Historical arrears behaviour,agr6_Mean_CMaxC_Days,0.027311672907992215,0.0,0.0022589297617318666,0.0,0.027311672907992215,0.0,-0.0022589297617318666,False
Current cash-loan behaviour,act_ccss_min_lninst,0.2805595016725672,0.14371919008287182,0.023204884241249283,0.02545140605979842,0.2805595016725672,0.14371919008287182,0.002246521818549136,True
Historical arrears behaviour,ags3_Max_CMaxI_Due,0.0,0.011674264416043642,0.0,0.002067409675290072,0.0,-0.011674264416043642,0.002067409675290072,False
Current instalment-loan behaviour,act_cins_cc,0.024731207913542576,0.0225407579420402,0.0020455012692807955,0.0039917702218311,-0.024731207913542576,0.0225407579420402,0.0019462689525503044,False
Historical arrears behaviour,agr3_Min_CMaxI_Days,0.0,0.008038895136052528,0.0,0.0014236177107721907,0.0,0.008038895136052528,0.0014236177107721907,False
Historical arrears behaviour,ags6_Mean_CMaxI_Due,0.0,0.00666488130648135,0.0,0.0011802919316049839,0.0,0.00666488130648135,0.0011802919316049839,False
Historical arrears behaviour,ags9_Min_CMaxI_Days,0.03240764142422803,0.009061543255872067,0.0026804138277190903,0.0016047197093209456,0.03240764142422803,0.009061543255872067,-0.0010756941183981447,True
Historical arrears behaviour,ags6_Mean_CMaxI_Days,0.009879071924255264,0.0,0.0008170912731405607,0.0,-0.009879071924255264,0.0,-0.0008170912731405607,False
Historical arrears behaviour,ags9_Max_CMaxI_Due,0.009279689632905985,0.0,0.0007675167743119767,0.0,0.009279689632905985,0.0,-0.0007675167743119767,False
Current instalment-loan behaviour,act_cins_n_statC,0.0,0.004139422759712632,0.0,0.0007330554079094651,0.0,0.004139422759712632,0.0007330554079094651,False
Historical arrears behaviour,agr12_Mean_CMaxI_Days,0.03779111956918959,0.014163231557817445,0.0031256776181963148,0.002508183891720412,-0.03779111956918959,-0.014163231557817445,-0.0006174937264759026,True
Historical arrears behaviour,agr3_Min_CMaxA_Due,0.0,0.0032240348717443887,0.0,0.0005709482541920882,0.0,0.0032240348717443887,0.0005709482541920882,False
