model,business_group,raw_feature,coefficient_abs_sum,signed_coefficient_sum,max_abs_coefficient,positive_abs_sum,negative_abs_sum,nonzero_terms,importance_share,dominant_direction
pooled,Current cash-loan behaviour,act_ccss_n_statC,1.210650444417911,-1.210650444417911,1.210650444417911,0.0,1.210650444417911,1,0.11076180133532244,mostly decreases PD
pooled,Current call-loan behaviour,act_call_cc,0.8855410007735773,0.8855410007735773,0.8855410007735773,0.8855410007735773,0.0,1,0.08101770156217562,mostly increases PD
pooled,Application affordability,app_number_of_children,0.6252916790950435,-0.6252916790950435,0.6252916790950435,0.0,0.6252916790950435,1,0.0572076217837225,mostly decreases PD
pooled,Current customer state,act_age,0.5866359575977139,-0.5866359575977139,0.5866359575977139,0.0,0.5866359575977139,1,0.0536710292315929,mostly decreases PD
pooled,Current instalment-loan behaviour,act_cins_n_loan,0.5132559351217917,-0.5132559351217917,0.5132559351217917,0.0,0.5132559351217917,1,0.046957527816766716,mostly decreases PD
pooled,Application profile,app_char_city,0.4634612016448008,-0.4634612016448008,0.25663505653102187,0.0,0.4634612016448008,3,0.04240183265111912,mostly decreases PD
pooled,Application profile,app_char_gender,0.3885277624536931,0.3885277624536931,0.3885277624536931,0.3885277624536931,0.0,1,0.03554620992093582,mostly increases PD
pooled,Current instalment-loan behaviour,act_cins_min_seniority,0.29238760189031004,-0.29238760189031004,0.29238760189031004,0.0,0.29238760189031004,1,0.026750394899542604,mostly decreases PD
pooled,Application profile,app_char_home_status,0.2918329508712678,-0.2918329508712678,0.2918329508712678,0.0,0.2918329508712678,1,0.026699650156280952,mostly decreases PD
pooled,Historical arrears behaviour,agr6_Mean_CMaxA_Due,0.25305606009937154,0.25305606009937154,0.25305606009937154,0.25305606009937154,0.0,1,0.023151971888056025,mostly increases PD
pooled,Current cash-loan behaviour,act_ccss_min_lninst,0.24297261158403963,0.24297261158403963,0.24297261158403963,0.24297261158403963,0.0,1,0.0222294422459287,mostly increases PD
pooled,Current cash-loan behaviour,act_ccss_n_statB,0.2331106419407397,0.2331106419407397,0.2331106419407397,0.2331106419407397,0.0,1,0.021327175594606923,mostly increases PD
pooled,Historical arrears behaviour,ags12_Min_CMaxA_Days,0.2276330349986134,-0.2276330349986134,0.2276330349986134,0.0,0.2276330349986134,1,0.020826032085583153,mostly decreases PD
pooled,Application profile,app_char_marital_status,0.22298239563579283,-0.21506787301557004,0.21902513432568144,0.003957261310111397,0.21902513432568144,2,0.0204005474251991,mostly decreases PD
pooled,Other,act3_n_arrears_days,0.19894221541576998,0.19894221541576998,0.19894221541576998,0.19894221541576998,0.0,1,0.01820112340658753,mostly increases PD
pooled,Current instalment-loan behaviour,act_cins_min_pninst,0.19711254382163304,0.19711254382163304,0.19711254382163304,0.19711254382163304,0.0,1,0.01803372767105289,mostly increases PD
pooled,Application affordability,app_income,0.1782335493735898,0.1782335493735898,0.1782335493735898,0.1782335493735898,0.0,1,0.01630649794747217,mostly increases PD
pooled,Historical arrears behaviour,agr6_Min_CMaxA_Due,0.1754327203956335,0.1754327203956335,0.1754327203956335,0.1754327203956335,0.0,1,0.016050251510475434,mostly increases PD
pooled,Current cash-loan behaviour,act_ccss_cc,0.17090760885631606,-0.17090760885631606,0.17090760885631606,0.0,0.17090760885631606,1,0.015636251327640627,mostly decreases PD
pooled,Historical arrears behaviour,ags3_Mean_CMaxC_Days,0.16676032104040298,0.16676032104040298,0.16676032104040298,0.16676032104040298,0.0,1,0.01525681804756825,mostly increases PD
pooled,Historical arrears behaviour,ags3_Mean_CMaxA_Days,0.15552368329563748,-0.15552368329563748,0.15552368329563748,0.0,0.15552368329563748,1,0.014228783701815286,mostly decreases PD
pooled,Historical arrears behaviour,ags3_Max_CMaxA_Days,0.14710557131143867,-0.14710557131143867,0.14710557131143867,0.0,0.14710557131143867,1,0.013458614862815164,mostly decreases PD
pooled,Historical arrears behaviour,ags6_Mean_CMaxC_Due,0.1441022059431537,0.1441022059431537,0.1441022059431537,0.1441022059431537,0.0,1,0.013183838473153561,mostly increases PD
pooled,Other,act12_n_arrears_days,0.13923495799815178,-0.13923495799815178,0.13923495799815178,0.0,0.13923495799815178,1,0.012738536402337188,mostly decreases PD
pooled,Current instalment-loan behaviour,act_cins_utl,0.13523857264471303,-0.13523857264471303,0.13523857264471303,0.0,0.13523857264471303,1,0.012372909112793836,mostly decreases PD
pooled,Current cash-loan behaviour,act_ccss_dueutl,0.12881876361369518,0.12881876361369518,0.12881876361369518,0.12881876361369518,0.0,1,0.011785564007703492,mostly increases PD
pooled,Current instalment-loan behaviour,act_cins_maxdue,0.12585133511672,0.12585133511672,0.12585133511672,0.12585133511672,0.0,1,0.011514075464355402,mostly increases PD
pooled,Historical arrears behaviour,agr12_Min_CMaxI_Days,0.10949332407118194,-0.10949332407118194,0.10949332407118194,0.0,0.10949332407118194,1,0.010017489246573898,mostly decreases PD
pooled,Historical arrears behaviour,ags12_Max_CMaxI_Days,0.10447600729710625,0.10447600729710625,0.10447600729710625,0.10447600729710625,0.0,1,0.009558457453929779,mostly increases PD
pooled,Historical arrears behaviour,ags12_Min_CMaxI_Days,0.10333320132511457,0.10333320132511457,0.10333320132511457,0.10333320132511457,0.0,1,0.009453902709314439,mostly increases PD
pooled,Historical arrears behaviour,agr6_Mean_CMaxA_Days,0.10252252655593384,0.10252252655593384,0.10252252655593384,0.10252252655593384,0.0,1,0.009379734481693025,mostly increases PD
pooled,Historical arrears behaviour,ags12_Max_CMaxA_Due,0.0952714933063302,0.0952714933063302,0.0952714933063302,0.0952714933063302,0.0,1,0.008716341090172344,mostly increases PD
pooled,Application profile,app_char_cars,0.09166723788887371,0.09166723788887371,0.09166723788887371,0.09166723788887371,0.0,1,0.008386589571597535,mostly increases PD
pooled,Current cash-loan behaviour,act_ccss_seniority,0.08530506365354995,-0.08530506365354995,0.08530506365354995,0.0,0.08530506365354995,1,0.007804517445028866,mostly decreases PD
pooled,Application affordability,app_n_installments,0.08360514641919721,0.08360514641919721,0.08360514641919721,0.08360514641919721,0.0,1,0.007648992870725836,mostly increases PD
pooled,Current instalment-loan behaviour,act_cins_n_loans_act,0.08239213014255686,0.08239213014255686,0.08239213014255686,0.08239213014255686,0.0,1,0.007538014620588283,mostly increases PD
pooled,Historical arrears behaviour,ags12_Mean_CMaxI_Due,0.08225270245138007,0.08225270245138007,0.08225270245138007,0.08225270245138007,0.0,1,0.007525258451124197,mostly increases PD
pooled,Historical arrears behaviour,ags12_Mean_CMaxC_Days,0.07910951362893197,-0.07910951362893197,0.07910951362893197,0.0,0.07910951362893197,1,0.007237689683841587,mostly decreases PD
pooled,Current cash-loan behaviour,act_ccss_min_seniority,0.07537027865590357,-0.07537027865590357,0.07537027865590357,0.0,0.07537027865590357,1,0.006895588953495929,mostly decreases PD
pooled,Current customer state,act_loaninc,0.07002437750874914,-0.07002437750874914,0.07002437750874914,0.0,0.07002437750874914,1,0.006406495141529349,mostly decreases PD
pooled,Other,act3_n_good_days,0.06801344407563546,0.06801344407563546,0.06801344407563546,0.06801344407563546,0.0,1,0.0062225158513518385,mostly increases PD
pooled,Current cash-loan behaviour,act_ccss_min_pninst,0.061836672833719866,0.061836672833719866,0.061836672833719866,0.061836672833719866,0.0,1,0.005657406151565843,mostly increases PD
pooled,Historical arrears behaviour,ags3_Mean_CMaxC_Due,0.05807620780697322,-0.05807620780697322,0.05807620780697322,0.0,0.05807620780697322,1,0.005313363094264357,mostly decreases PD
pooled,Current credit-card behaviour,act_cc,0.05799525064171922,0.05799525064171922,0.05799525064171922,0.05799525064171922,0.0,1,0.0053059563638609775,mostly increases PD
pooled,Historical arrears behaviour,agr3_Min_CMaxI_Days,0.0562563850973179,0.0562563850973179,0.0562563850973179,0.0562563850973179,0.0,1,0.0051468684282261635,mostly increases PD
pooled,Historical arrears behaviour,agr12_Mean_CMaxC_Days,0.055858109514465765,-0.055858109514465765,0.055858109514465765,0.0,0.055858109514465765,1,0.005110430395111007,mostly decreases PD
pooled,Historical arrears behaviour,agr6_Mean_CMaxI_Due,0.05530249546652711,-0.05530249546652711,0.05530249546652711,0.0,0.05530249546652711,1,0.005059597544819126,mostly decreases PD
pooled,Historical arrears behaviour,agr12_Mean_CMaxI_Days,0.05371163073322942,-0.05371163073322942,0.05371163073322942,0.0,0.05371163073322942,1,0.004914050129086246,mostly decreases PD
pooled,Historical arrears behaviour,ags9_Min_CMaxI_Due,0.05184632257107797,-0.05184632257107797,0.05184632257107797,0.0,0.05184632257107797,1,0.004743394021835807,mostly decreases PD
pooled,Historical arrears behaviour,agr12_Max_CMaxA_Due,0.05042082718319414,0.05042082718319414,0.05042082718319414,0.05042082718319414,0.0,1,0.004612976164488783,mostly increases PD
pooled,Historical arrears behaviour,agr3_Min_CMaxA_Due,0.048757974996369836,0.048757974996369836,0.048757974996369836,0.048757974996369836,0.0,1,0.00446084265277509,mostly increases PD
pooled,Historical arrears behaviour,ags3_Max_CMaxI_Due,0.04524669904009684,-0.04524669904009684,0.04524669904009684,0.0,0.04524669904009684,1,0.004139597778422281,mostly decreases PD
