stage,dropped_feature,kept_feature,dropped_encoded_term,kept_encoded_term,abs_correlation,dropped_univariate_abs_gini,kept_univariate_abs_gini,threshold
encoded_correlation,product,app_char_branch,cat__product_ins,cat__app_char_branch_Empty,1.0,0.22232297493158648,0.22457787637939086,0.75
raw_numeric_correlation,act_call_n_loan,act_ccss_n_loan,act_call_n_loan,act_ccss_n_loan,0.9637685210606992,0.009239366461382348,0.01369213623068588,0.75
raw_numeric_correlation,ags6_Mean_CMaxA_Due,ags6_Mean_CMaxC_Due,ags6_Mean_CMaxA_Due,ags6_Mean_CMaxC_Due,0.9604890969762994,0.25680002302254645,0.2651388939759416,0.75
raw_numeric_correlation,agr3_Min_CMaxC_Due,agr3_Min_CMaxA_Due,agr3_Min_CMaxC_Due,agr3_Min_CMaxA_Due,0.9586204293294972,0.18582151247665024,0.20376784901395473,0.75
raw_numeric_correlation,agr3_Mean_CMaxA_Days,ags3_Mean_CMaxA_Days,agr3_Mean_CMaxA_Days,ags3_Mean_CMaxA_Days,0.9574348151257186,0.30293772924438955,0.30373802435157526,0.75
raw_numeric_correlation,agr6_Mean_CMaxC_Due,agr6_Mean_CMaxA_Due,agr6_Mean_CMaxC_Due,agr6_Mean_CMaxA_Due,0.9561686421189153,0.2590214371301349,0.2737817671897318,0.75
raw_numeric_correlation,ags3_Mean_CMaxI_Due,ags3_Max_CMaxI_Due,ags3_Mean_CMaxI_Due,ags3_Max_CMaxI_Due,0.9560835247702216,0.04008617757708666,0.040103967726576206,0.75
raw_numeric_correlation,agr6_Min_CMaxC_Due,agr6_Min_CMaxA_Due,agr6_Min_CMaxC_Due,agr6_Min_CMaxA_Due,0.950450700962889,0.07939560583307603,0.09039698195346313,0.75
raw_numeric_correlation,ags3_Mean_CMaxA_Due,ags3_Mean_CMaxC_Due,ags3_Mean_CMaxA_Due,ags3_Mean_CMaxC_Due,0.9474797908237083,0.24207815108022812,0.2456029552577741,0.75
raw_numeric_correlation,act9_n_good_days,act12_n_good_days,act9_n_good_days,act12_n_good_days,0.9452312282293224,0.320413150059911,0.3850868839506689,0.75
