feature,dtype,is_numeric,missing_rate_train,nunique_train,top_value_share_train,univariate_abs_gini_train,selected,rejection_reason,used_before_correlation_pruning,used_before_vif_pruning,used_in_model,correlation_pruned,vif_pruned
ags12_Mean_CMaxC_Days,float64,True,0.3183329071848632,171,0.3183329071848632,0.4277513251045172,True,,True,True,True,False,False
ags9_Min_CMaxC_Days,float64,True,0.3254922014829967,16,0.3254922014829967,0.4273952604948801,True,,True,False,False,True,False
act_ccss_n_loans_act,float64,True,0.33290718486320636,7,0.33290718486320636,0.4261088757148762,True,,True,True,False,False,True
act_ccss_min_lninst,float64,True,0.33290718486320636,25,0.33290718486320636,0.4169160775859815,True,,True,True,True,False,False
ags9_Mean_CMaxC_Days,float64,True,0.3254922014829967,122,0.3254922014829967,0.40304447014132705,True,,True,False,False,True,False
agr12_Mean_CMaxA_Days,float64,True,0.4011761697775505,53,0.4011761697775505,0.40264026748012993,True,,True,True,True,False,False
ags12_Min_CMaxC_Days,float64,True,0.3183329071848632,17,0.3183329071848632,0.4025811413950616,True,,True,False,False,True,False
ags12_Min_CMaxA_Days,float64,True,0.25568908207619534,18,0.25568908207619534,0.40179994453659273,True,,True,True,True,False,False
agr12_Mean_CMaxC_Days,float64,True,0.5267195090769624,54,0.5267195090769624,0.39344825421077145,True,,True,True,True,False,False
agr9_Mean_CMaxA_Days,float64,True,0.3676809000255689,47,0.3676809000255689,0.3927834781835211,True,,True,False,False,True,False
agr9_Mean_CMaxC_Days,float64,True,0.46893377652774226,48,0.46893377652774226,0.3890195534672477,True,,True,False,False,True,False
act12_n_good_days,float64,True,0.23037586295065202,13,0.23037586295065202,0.3850868839506689,True,,True,True,True,False,False
act_ccss_utl,float64,True,0.33290718486320636,99,0.33290718486320636,0.382022007461398,True,,True,False,False,True,False
ags6_Mean_CMaxC_Days,float64,True,0.329838915878292,70,0.329838915878292,0.3814590015540219,True,,True,False,False,True,False
agr12_Min_CMaxC_Days,float64,True,0.5267195090769624,13,0.5267195090769624,0.3810984894070125,True,,True,False,False,True,False
agr12_Min_CMaxA_Days,float64,True,0.4011761697775505,13,0.4011761697775505,0.3802484865291942,True,,True,False,False,True,False
ags12_Mean_CMaxA_Days,float64,True,0.25568908207619534,164,0.25568908207619534,0.37429244912802107,True,,True,False,False,True,False
act_ccss_n_statC,float64,True,0.08437739708514447,36,0.4021989261058553,0.3690603138391666,True,,True,True,True,False,False
ags9_Mean_CMaxA_Days,float64,True,0.26693940168754793,113,0.26693940168754793,0.367798782944479,True,,True,False,False,True,False
agr9_Min_CMaxC_Days,float64,True,0.46893377652774226,13,0.46893377652774226,0.36673032749572243,True,,True,True,True,False,False
agr6_Min_CMaxC_Days,float64,True,0.4221426745077985,13,0.4221426745077985,0.3615248774311024,True,,True,False,False,True,False
ags6_Min_CMaxA_Days,float64,True,0.27409869598568143,13,0.27409869598568143,0.35526274481077036,True,,True,False,False,True,False
act6_n_good_days,float64,True,0.23037586295065202,7,0.23037586295065202,0.3522352799593964,True,,True,False,False,True,False
agr6_Mean_CMaxC_Days,float64,True,0.4221426745077985,38,0.4221426745077985,0.3489935484546116,True,,True,True,True,False,False
agr6_Mean_CMaxA_Days,float64,True,0.3410892354896446,39,0.3410892354896446,0.34854853309752676,True,,True,True,True,False,False
act_cins_min_seniority,float64,True,0.028892866274610074,152,0.04321145487087701,0.34713735565125026,True,,True,True,True,False,False
agr6_Min_CMaxA_Days,float64,True,0.3410892354896446,13,0.3410892354896446,0.3374851530737717,True,,True,False,False,True,False
ags6_Mean_CMaxA_Days,float64,True,0.27409869598568143,69,0.27409869598568143,0.3367620358209893,True,,True,False,False,True,False
ags9_Min_CMaxA_Days,float64,True,0.26693940168754793,15,0.26693940168754793,0.33618699540072317,True,,True,False,False,True,False
agr3_Mean_CMaxC_Days,float64,True,0.3807210432114549,30,0.3807210432114549,0.33568128423949717,True,,True,False,False,True,False
ags6_Min_CMaxC_Days,float64,True,0.329838915878292,13,0.329838915878292,0.3261143697316302,True,,True,False,False,True,False
act9_n_good_days,float64,True,0.23037586295065202,10,0.23037586295065202,0.320413150059911,True,,True,False,False,True,False
agr9_Min_CMaxA_Days,float64,True,0.3676809000255689,13,0.3676809000255689,0.3196230581266971,True,,True,False,False,True,False
act_ccss_n_loans_hist,float64,True,0.08437739708514447,40,0.10432114548708771,0.31807060596388603,True,,True,False,False,True,False
ags3_Mean_CMaxA_Days,float64,True,0.2792124776272053,36,0.2792124776272053,0.30373802435157526,True,,True,True,True,False,False
agr3_Mean_CMaxA_Days,float64,True,0.30478138583482484,29,0.30478138583482484,0.30293772924438955,True,,True,False,False,True,False
act3_n_good_days,float64,True,0.23037586295065202,4,0.2411148043978522,0.30011118843430973,True,,True,True,True,False,False
ags3_Mean_CMaxC_Days,float64,True,0.3318844285349016,40,0.3318844285349016,0.2943212796349879,True,,True,True,True,False,False
ags3_Min_CMaxC_Days,float64,True,0.3318844285349016,15,0.3318844285349016,0.28697839543316406,True,,True,False,False,True,False
agr3_Min_CMaxC_Days,float64,True,0.3807210432114549,13,0.3807210432114549,0.28461570660904056,True,,True,False,False,True,False
agr6_Mean_CMaxA_Due,float64,True,0.3134748146254155,14,0.3134748146254155,0.2737817671897318,True,,True,True,True,False,False
act_ccss_seniority,float64,True,0.08437739708514447,163,0.08437739708514447,0.27175970740436495,True,,True,True,True,False,False
act_ccss_dueutl,float64,True,0.33290718486320636,17,0.3786755305548453,0.2687102664859746,True,,True,True,True,False,False
ags6_Mean_CMaxC_Due,float64,True,0.3216568652518537,29,0.3216568652518537,0.2651388939759416,True,,True,True,True,False,False
eng_missing_count,int64,True,0.0,76,0.2255177703912043,0.26462585745904343,True,,False,False,False,False,False
agr6_Mean_CMaxC_Due,float64,True,0.3505497315264638,14,0.3505497315264638,0.2590214371301349,True,,True,False,False,True,False
ags6_Mean_CMaxA_Due,float64,True,0.26642802352339556,30,0.26642802352339556,0.25680002302254645,True,,True,False,False,True,False
act6_n_arrears,float64,True,0.23037586295065202,7,0.23037586295065202,0.24710308345149823,True,,True,False,False,True,False
agr3_Mean_CMaxC_Due,float64,True,0.33392994119151115,9,0.33392994119151115,0.24640795952217776,True,,True,False,False,True,False
ags3_Mean_CMaxC_Due,float64,True,0.32677064689337765,11,0.32677064689337765,0.2456029552577741,True,,True,True,True,False,False
act_ccss_maxdue,float64,True,0.33290718486320636,4,0.3786755305548453,0.24381190579592604,True,,True,False,False,True,False
ags3_Mean_CMaxA_Due,float64,True,0.27307593965737664,11,0.27307593965737664,0.24207815108022812,True,,True,False,False,True,False
agr3_Mean_CMaxA_Due,float64,True,0.2848376374328816,9,0.2848376374328816,0.24166740792289532,True,,True,False,False,True,False
agr9_Mean_CMaxA_Due,float64,True,0.3254922014829967,19,0.3254922014829967,0.23433655823396116,True,,True,False,False,True,False
agr3_Min_CMaxA_Days,float64,True,0.30478138583482484,13,0.30478138583482484,0.23161466536205566,True,,True,False,False,True,False
act3_n_arrears,float64,True,0.23037586295065202,4,0.308872411148044,0.228675628018439,True,,True,False,False,True,False
ags3_Min_CMaxA_Days,float64,True,0.2792124776272053,15,0.2792124776272053,0.22846816348100907,True,,True,False,False,True,False
ags9_Mean_CMaxC_Due,float64,True,0.31066223472257737,64,0.31066223472257737,0.22762025356195403,True,,True,True,True,False,False
app_char_branch,object,False,0.0,5,0.659677831756584,0.22457787637939086,True,,True,True,False,False,True
product,object,False,0.0,2,0.659677831756584,0.22232297493158648,True,,True,False,False,True,False
agr9_Mean_CMaxC_Due,float64,True,0.37739708514446435,18,0.37739708514446435,0.2192110068701374,True,,True,False,False,True,False
ags9_Mean_CMaxA_Due,float64,True,0.2541549475837382,64,0.2541549475837382,0.21425801995636196,True,,True,False,False,True,False
agr12_Mean_CMaxA_Due,float64,True,0.34390181539248277,22,0.34390181539248277,0.20979818645123172,True,,True,False,False,True,False
agr12_Mean_CMaxC_Due,float64,True,0.417540271030427,22,0.417540271030427,0.20855078302819718,True,,True,False,False,True,False
ags3_Min_CMaxA_Due,float64,True,0.27307593965737664,4,0.5208386601892099,0.2040726361338867,True,,True,False,False,True,False
agr3_Min_CMaxA_Due,float64,True,0.2848376374328816,3,0.5149578113014575,0.20376784901395473,True,,True,True,True,False,False
act9_n_arrears,float64,True,0.23037586295065202,10,0.23037586295065202,0.20369904299460528,True,,True,False,False,True,False
act_cc,float64,True,0.0,2272,0.006903605216057275,0.19295039164490846,True,,True,True,True,False,False
ags12_Mean_CMaxC_Due,float64,True,0.29838915878292,101,0.29838915878292,0.192180706059639,True,,True,False,False,True,False
ags12_Mean_CMaxA_Due,float64,True,0.242137560726157,103,0.242137560726157,0.19018454663896978,True,,True,False,False,True,False
ags3_Min_CMaxC_Due,float64,True,0.32677064689337765,4,0.48095116338532345,0.1863363803324667,True,,True,False,False,True,False
agr3_Min_CMaxC_Due,float64,True,0.33392994119151115,3,0.47916133981079007,0.18582151247665024,True,,True,False,False,True,False
app_number_of_children,float64,True,0.0,4,0.5175147021222194,0.1840158123034581,True,,True,True,True,False,False
agr9_Max_CMaxA_Due,float64,True,0.3254922014829967,4,0.3991306571209409,0.1699063924193034,True,,True,False,False,True,False
act12_n_arrears,float64,True,0.23037586295065202,13,0.23037586295065202,0.16597189156380643,True,,True,False,False,True,False
agr12_Max_CMaxA_Due,float64,True,0.34390181539248277,4,0.3912042955765789,0.16590727146198403,True,,True,True,True,False,False
agr6_Max_CMaxA_Due,float64,True,0.3134748146254155,4,0.3855791357709026,0.16387736308125378,True,,True,False,False,True,False
ags9_Max_CMaxC_Due,float64,True,0.31066223472257737,5,0.3973408335464076,0.16270138187602368,True,,True,False,False,True,False
agr9_Max_CMaxC_Due,float64,True,0.37739708514446435,4,0.37739708514446435,0.16132447662949922,True,,True,False,False,True,False
ags6_Max_CMaxC_Due,float64,True,0.3216568652518537,5,0.3791869087189977,0.16036197721814371,True,,True,False,False,True,False
ags12_Max_CMaxC_Due,float64,True,0.29838915878292,5,0.4004091025313219,0.15821983392372196,True,,True,False,False,True,False
agr6_Max_CMaxC_Due,float64,True,0.3505497315264638,4,0.3684479672717975,0.15794042392879737,True,,True,False,False,True,False
ags12_Max_CMaxA_Due,float64,True,0.242137560726157,5,0.4085911531577602,0.15681990613079932,True,,True,True,True,False,False
ags9_Max_CMaxA_Due,float64,True,0.2541549475837382,5,0.40705701866530297,0.15524024550406312,True,,True,False,False,True,False
agr12_Max_CMaxC_Due,float64,True,0.417540271030427,4,0.417540271030427,0.15515626553367845,True,,True,False,False,True,False
act_ccss_cc,float64,True,0.33290718486320636,1715,0.33290718486320636,0.1524021934207842,True,,True,True,True,False,False
ags6_Max_CMaxA_Due,float64,True,0.26642802352339556,5,0.3881360265916645,0.14889884207056414,True,,True,False,False,True,False
act_cins_seniority,float64,True,0.028892866274610074,152,0.028892866274610074,0.14342784786282747,True,,True,False,False,True,False
eng_app_spending_to_income,float64,True,0.0,1455,0.0076706724622858605,0.14243813998754695,True,,False,False,False,False,False
act_loaninc,float64,True,0.0,2151,0.008437739708514446,0.13794560400173705,True,,True,True,True,False,False
eng_app_loan_to_income,float64,True,0.0,2151,0.008437739708514446,0.13794560400173705,True,,False,False,False,False,False
agr3_Max_CMaxC_Due,float64,True,0.33392994119151115,4,0.33674252109434927,0.13334004824269963,True,,True,True,True,False,False
ags3_Max_CMaxC_Due,float64,True,0.32677064689337765,5,0.3372538992585017,0.1330810445957189,True,,True,False,False,True,False
ags3_Max_CMaxA_Due,float64,True,0.27307593965737664,5,0.3474814625415495,0.1243316921048363,True,,True,False,False,True,False
act_call_cc,float64,True,0.0,3100,0.006903605216057275,0.12282371531574898,True,,True,True,True,False,False
agr3_Max_CMaxA_Due,float64,True,0.2848376374328816,4,0.34697008437739707,0.1223459974779848,True,,True,False,False,True,False
eng_act_cc_to_income,float64,True,0.0,2294,0.006903605216057275,0.11727083409639105,True,,False,False,False,False,False
act_ccss_min_pninst,float64,True,0.33290718486320636,25,0.33290718486320636,0.11362202211210959,True,,True,True,True,False,False
eng_act_loaninc_to_income,float64,True,0.0,2157,0.008437739708514446,0.11281675622786058,True,,False,False,False,False,False
act_ccss_n_statB,float64,True,0.08437739708514447,17,0.3364868320122731,0.10555759037657575,True,,True,True,True,False,False
ags3_Max_CMaxC_Days,float64,True,0.3318844285349016,14,0.5182817693684479,0.10509452325015578,True,,True,True,True,False,False
eng_app_installment_to_income,float64,True,0.0,2142,0.008437739708514446,0.10160346803267095,True,,False,False,False,False,False
app_char_marital_status,object,False,0.0,4,0.5216057274354385,0.09767367633439195,True,,True,True,True,False,False
ags6_Min_CMaxA_Due,float64,True,0.26642802352339556,7,0.6576323190999744,0.0961439850981336,True,,True,False,False,True,False
app_loan_amount,float64,True,0.0,591,0.659677831756584,0.09509986029500261,True,,True,True,False,False,True
ags3_Max_CMaxI_Days,float64,True,0.6732293531066224,12,0.6732293531066224,0.09358638948916098,True,,True,True,True,False,False
act_cins_cc,float64,True,0.6962413704934799,780,0.6962413704934799,0.09221654797846357,True,,True,True,True,False,False
agr6_Min_CMaxA_Due,float64,True,0.3134748146254155,3,0.6205574021989261,0.09039698195346313,True,,True,True,True,False,False
act_age,float64,True,0.0,60,0.04244438762464843,0.08661997624491802,True,,True,True,True,False,False
ags6_Min_CMaxC_Due,float64,True,0.3216568652518537,7,0.6087957044234211,0.08470439573664312,True,,True,False,False,True,False
ags12_Mean_CMaxI_Due,float64,True,0.5111224750703145,56,0.5111224750703145,0.08403491055217471,True,,True,True,True,False,False
ags12_Max_CMaxI_Due,float64,True,0.5111224750703145,5,0.5111224750703145,0.0839736915083431,True,,True,False,False,True,False
act_cins_n_statC,float64,True,0.028892866274610074,13,0.2582459728969573,0.08118037641863352,True,,True,True,True,False,False
agr6_Min_CMaxC_Due,float64,True,0.3505497315264638,3,0.5896190232677064,0.07939560583307603,True,,True,False,False,True,False
ags3_Max_CMaxA_Days,float64,True,0.2792124776272053,14,0.5822040398874968,0.07931842797867261,True,,True,True,True,False,False
agr3_Max_CMaxC_Days,float64,True,0.3807210432114549,14,0.49603681922781895,0.07752580879775206,True,,True,False,False,True,False
app_n_installments,float64,True,0.0,3,0.7478905650728714,0.07452188973246754,True,,True,True,True,False,False
act_cins_n_loan,float64,True,0.0,5,0.5034518026080287,0.07446511822600832,True,,True,True,True,False,False
agr3_Max_CMaxI_Days,float64,True,0.7156737407312708,7,0.7156737407312708,0.07377025591653263,True,,True,False,False,True,False
app_income,float64,True,0.0,1223,0.008949117872666838,0.07203990225882573,True,,True,True,True,False,False
agr3_Max_CMaxA_Days,float64,True,0.30478138583482484,14,0.5678854512912299,0.06987656775692386,True,,True,False,False,True,False
ags9_Min_CMaxI_Days,float64,True,0.5655842495525442,14,0.5655842495525442,0.06937242631477036,True,,True,True,True,False,False
ags9_Mean_CMaxI_Due,float64,True,0.564050115060087,41,0.564050115060087,0.06780898611845121,True,,True,False,False,True,False
ags9_Max_CMaxI_Due,float64,True,0.564050115060087,5,0.564050115060087,0.06774201143801983,True,,True,True,True,False,False
act_cins_min_pninst,float64,True,0.6962413704934799,37,0.6962413704934799,0.06540156030075828,True,,True,True,True,False,False
app_char_job_code,object,False,0.0,4,0.6750191766811557,0.062264476734147145,True,,True,True,False,False,True
app_char_gender,object,False,0.0,2,0.7780618767578624,0.061403485822820736,True,,True,True,True,False,False
ags6_Max_CMaxI_Days,float64,True,0.6210687803630784,13,0.6210687803630784,0.06055662238314741,True,,True,True,True,False,False
app_char_city,object,False,0.0,4,0.33802096650473024,0.05947953347949175,True,,True,True,True,False,False
agr12_Min_CMaxI_Days,float64,True,0.8113014574277678,12,0.8113014574277678,0.058614879890328875,True,,True,True,True,False,False
ags6_Mean_CMaxI_Due,float64,True,0.6200460240347737,24,0.6200460240347737,0.054628055065745196,True,,True,True,True,False,False
ags6_Max_CMaxI_Due,float64,True,0.6200460240347737,5,0.6200460240347737,0.05448625710951949,True,,True,False,False,True,False
agr12_Max_CMaxI_Due,float64,True,0.781385834824853,4,0.781385834824853,0.05392063500368871,True,,True,True,True,False,False
agr12_Mean_CMaxI_Due,float64,True,0.781385834824853,17,0.781385834824853,0.05387458991089211,True,,True,False,False,True,False
agr6_Min_CMaxI_Days,float64,True,0.7599079519304526,14,0.7599079519304526,0.04960181459524793,True,,True,True,True,False,False
app_char_home_status,object,False,0.0,2,0.8678087445666071,0.04896372379223202,True,,True,True,True,False,False
app_installment,float64,True,0.0,397,0.6614676553311174,0.047604608695197115,True,,True,True,True,False,False
agr9_Max_CMaxI_Due,float64,True,0.761697775504986,4,0.761697775504986,0.04743010825829219,True,,True,False,False,True,False
agr9_Mean_CMaxI_Due,float64,True,0.761697775504986,14,0.761697775504986,0.04738510964487741,True,,True,False,False,True,False
ags9_Max_CMaxI_Days,float64,True,0.5655842495525442,14,0.5655842495525442,0.045098813815620864,True,,True,True,True,False,False
ags6_Mean_CMaxI_Days,float64,True,0.6210687803630784,69,0.6210687803630784,0.043919169932554514,True,,True,True,True,False,False
agr12_Mean_CMaxI_Days,float64,True,0.8113014574277678,50,0.8113014574277678,0.04389353118770156,True,,True,True,True,False,False
