Variable,Condition,BR,Share,All,Bad,Good,Logit,GRP,Type,Bad share,Good share,Infomration Value,Share test,Bad share test,Population Stability Index,Population Stability Index for bads,Beta,FBeta,Score
act_age,48.5 <= act_age < 57.5,0.6008629989212514,0.23215627347858753,927,557,370,0.40906214355197773,0,INT,0.2737100737100737,0.18896833503575078,0.03138208552658562,0.10426540284360189,0.12602739726027398,0.10230542705507835,0.114475077514356,1.6167251835815015,0.6613410691303138,4.0
act_age,act_age < 48.5,0.5256064690026954,0.09291259704482845,371,195,176,0.10251550816431954,1,INT,0.09582309582309582,0.0898876404494382,0.00037912396346581774,0.027251184834123223,0.0410958904109589,0.08036793272124973,0.046255887220067134,1.6167251835815015,0.6613410691303138,18.0
act_age,70.500 <= act_age,0.5011337868480725,0.22088655146506386,882,442,440,0.0045351541370081926,2,INT,0.21719901719901719,0.2247191011235955,0.000255846184791402,0.46800947867298576,0.38082191780821917,0.18549055584857438,0.09184481467250247,1.6167251835815015,0.6613410691303138,23.0
act_age,57.5 <= act_age < 70.5,0.4638720353006067,0.45404457801152015,1813,841,972,-0.14476412846208705,3,INT,0.41326781326781326,0.4964249233912155,0.01524235690463154,0.4004739336492891,0.4520547945205479,0.006724039868679629,0.0034786802810107516,1.6167251835815015,0.6613410691303138,30.0
act_cc,0.809 <= act_cc,0.676056338028169,0.10668670172802404,426,288,138,0.7357064175634844,0,INT,0.14152334152334153,0.07048008171603677,0.049476162463238604,0.13507109004739337,0.16986301369863013,0.006690424751310869,0.005169435009313194,0.28676663182966367,0.21097605138014855,4.0
act_cc,0.548 <= act_cc < 0.728,0.6041152263374485,0.304282494365139,1215,734,481,0.4226416868483409,1,INT,0.36068796068796066,0.245658835546476,0.044164248658005556,0.3862559241706161,0.42191780821917807,0.01954852450812951,0.009598212932415015,0.28676663182966367,0.21097605138014855,6.0
act_cc,0.728 <= act_cc < 0.809,0.4892966360856269,0.08189331329827197,327,160,167,-0.042819970985339385,2,INT,0.07862407862407862,0.08529111338100102,0.0005419830792722061,0.08530805687203792,0.0958904109589041,0.00013933089527310235,0.0034239005354287123,0.28676663182966367,0.21097605138014855,10.0
act_cc,act_cc < 0.548,0.4212345679012346,0.507137490608565,2025,853,1172,-0.31770739073621984,3,INT,0.41916461916461917,0.5985699693564862,0.06390565812228349,0.3933649289099526,0.31232876712328766,0.028896794787060337,0.03142317744933762,0.28676663182966367,0.21097605138014855,13.0
act_loaninc,4.696 <= act_loaninc,0.6380208333333334,0.28850488354620585,1152,735,417,0.5667841736603231,0,INT,0.36117936117936117,0.21297242083758938,0.0782561398472119,0.3578199052132701,0.4684931506849315,0.014920104523163618,0.027910534884404845,0.21806740802887412,0.12359715566189391,4.0
act_loaninc,3.648 <= act_loaninc < 4.291,0.6043478260869565,0.05760080140245429,230,139,91,0.42361404713754824,1,INT,0.0683046683046683,0.04647599591419816,0.008389976252121472,0.06872037914691943,0.09315068493150686,0.0019595903657836995,0.007698546481798558,0.21806740802887412,0.12359715566189391,5.0
act_loaninc,act_loaninc < 3.648,0.45975558364938895,0.594290007513148,2373,1091,1282,-0.16132663799163746,2,INT,0.5361179361179361,0.6547497446373851,0.02371036256169103,0.5118483412322274,0.4054794520547945,0.012309526637591233,0.03647738508827518,0.21806740802887412,0.12359715566189391,8.0
act_loaninc,4.291 <= act_loaninc < 4.696,0.29411764705882354,0.059604307538191834,238,70,168,-0.8754679040214098,3,INT,0.0343980343980344,0.08580183861082738,0.04689583885251861,0.061611374407582936,0.03287671232876712,6.63618461499682e-05,6.861272539053659e-05,0.21806740802887412,0.12359715566189391,13.0
app_income,app_income < 582.5,0.7004950495049505,0.1011770598547458,404,283,121,0.849655878957385,0,INT,0.13906633906633906,0.06179775280898876,0.06260192884565356,0.12677725118483413,0.16986301369863013,0.005769263338675474,0.006156592337680658,0.7072925765139225,0.6009552957779704,4.0
app_income,582.5 <= app_income < 1064.5,0.5573394495412844,0.21838216879539193,872,486,386,0.23037120112963463,1,INT,0.2388206388206388,0.19713993871297242,0.00799062748338396,0.25355450236966826,0.30684931506849317,0.005250128871480933,0.017044666115590665,0.7072925765139225,0.6009552957779704,16.0
app_income,2126.500 <= app_income,0.5438034188034188,0.23441021788129227,936,509,427,0.17566396559352312,2,INT,0.2501228501228501,0.21807967313585291,0.00439097296889144,0.14691943127962084,0.14794520547945206,0.04085245763004711,0.05362632767070459,0.7072925765139225,0.6009552957779704,18.0
app_income,1064.5 <= app_income < 2126.5,0.42504211117349805,0.44603055346857,1781,757,1024,-0.302108517717862,3,INT,0.371990171990172,0.5229826353421859,0.05142852093890479,0.4727488151658768,0.37534246575342467,0.0015540430510220002,3.0066777667991048e-05,0.7072925765139225,0.6009552957779704,27.0
app_n_installments,18 <= app_n_installments < 30,0.5654064904650384,0.7485599799649386,2989,1690,1299,0.26313377343582445,0,INT,0.8304668304668305,0.6634320735444331,0.037504514987974726,0.7535545023696683,0.852054794520548,3.3209219839071596e-05,0.0005539427981850088,0.09599403770663721,0.025259273369088266,4.0
app_n_installments,30.000 <= app_n_installments,0.3764367816091954,0.08715251690458302,348,131,217,-0.5046997278102077,1,INT,0.06437346437346438,0.1108273748723187,0.025206912552615108,0.1018957345971564,0.08493150684931507,0.002301778773666063,0.005689810819060555,0.09599403770663721,0.025259273369088266,6.0
app_n_installments,app_n_installments < 18,0.32621951219512196,0.16428750313047832,656,214,442,-0.7253336260105544,2,INT,0.10515970515970516,0.2257405515832482,0.09205124301006319,0.14454976303317535,0.06301369863013699,0.0025246754848113778,0.02155738052765215,0.09599403770663721,0.025259273369088266,7.0
app_number_of_children,app_number_of_children < 0.5,0.5749516441005803,0.5179063360881543,2068,1189,879,0.3020829693442543,0,INT,0.5842751842751843,0.4489274770173647,0.03565858967271707,0.6161137440758294,0.6876712328767123,0.01704943617139078,0.01684456634965426,1.1757777943175434,0.3551824473964814,4.0
app_number_of_children,0.5 <= app_number_of_children < 1.5,0.5195227765726681,0.23090408214375158,922,479,443,0.07813081040041618,1,INT,0.23538083538083537,0.22625127681307455,0.00036099568211806957,0.20260663507109006,0.18904109589041096,0.0036977857503938537,0.010154717019612503,1.1757777943175434,0.3551824473964814,11.0
app_number_of_children,1.5 <= app_number_of_children < 2.5,0.4328767123287671,0.18281993488605058,730,316,414,-0.27012368532862074,2,INT,0.15528255528255527,0.21144024514811033,0.017326056320497298,0.1386255924170616,0.1095890410958904,0.012221977060701264,0.01591234188328988,1.1757777943175434,0.3551824473964814,23.0
app_number_of_children,2.500 <= app_number_of_children,0.18681318681318682,0.06836964688204357,273,51,222,-1.4708502388159113,3,INT,0.02506142506142506,0.11338100102145046,0.1330378404879694,0.04265402843601896,0.0136986301369863,0.012110181940672813,0.00682611665229092,1.1757777943175434,0.3551824473964814,64.0
app_installment,199.5 <= app_installment < 208.5,0.5928571428571429,0.6661657901327322,2660,1577,1083,0.3757893110374876,0,INT,0.774938574938575,0.5531154239019408,0.07479107405472346,0.6729857819905213,0.8054794520547945,6.945553641578919e-05,0.0011803753511228153,0.8083597612982539,0.3037729577686988,4.0
app_installment,121.5 <= app_installment < 199.5,0.36432160804020103,0.09967443025294265,398,145,253,-0.5566554519088501,1,INT,0.07125307125307126,0.12921348314606743,0.034463212830955194,0.08886255924170616,0.052054794520547946,0.0012400820557788227,0.006017205938360248,0.8083597612982539,0.3037729577686988,26.0
app_installment,208.500 <= app_installment,0.36318407960199006,0.15101427498121714,603,219,384,-0.5615706265669583,2,INT,0.10761670761670762,0.1961184882533197,0.053076648187848734,0.16824644549763032,0.11232876712328767,0.0018608623406321868,0.00020174747223884404,0.8083597612982539,0.3037729577686988,26.0
app_installment,app_installment < 121.5,0.28313253012048195,0.08314550463310794,332,94,238,-0.9289752477402283,3,INT,0.046191646191646195,0.12155260469867211,0.07281435824110857,0.06990521327014218,0.030136986301369864,0.00229354171833194,0.006837609488214544,0.8083597612982539,0.3037729577686988,34.0
app_char_gender,Male,0.5818181818181818,0.22038567493112948,880,512,368,0.33024161044396433,0,NOM,0.2515970515970516,0.18794688457609807,0.01855624318920899,0.1966824644549763,0.2054794520547945,0.002695857366057855,0.009333907036081711,0.9407757186393251,0.31068328839002857,4.0
app_char_gender,Female,0.4892386765178285,0.7796143250688705,3113,1523,1590,-0.043051939552315475,1,NOM,0.7484029484029484,0.8120531154239019,0.005194728516008155,0.8033175355450237,0.7945205479452054,0.000709838756307176,0.002757350966216798,0.9407757186393251,0.31068328839002857,14.0
app_char_marital_status,<OTHERS>,0.7105263157894737,0.009516654144753318,38,27,11,0.8979362060350347,0,NOM,0.013267813267813268,0.0056179775280898875,0.006496505643819831,0.005924170616113744,0.005479452054794521,0.0016802641433301083,0.006805152645159306,0.3585801286495104,0.321982080279096,4.0
app_char_marital_status,Divorced,0.5702576112412178,0.21387427998998246,854,487,367,0.2829022078872806,1,NOM,0.23931203931203932,0.1874361593462717,0.012668837145127941,0.21208530805687204,0.27671232876712326,1.5019910226173181e-05,0.00542878971149639,0.3585801286495104,0.321982080279096,10.0
app_char_marital_status,Maried,0.5115830115830116,0.518908089156023,2072,1060,1012,0.04634033278409573,2,NOM,0.5208845208845209,0.5168539325842697,3.1303828570091303e-05,0.3862559241706161,0.37534246575342467,0.03915367153475966,0.04768177375494729,0.3585801286495104,0.321982080279096,13.0
app_char_marital_status,Widowed,0.4480077745383868,0.2577009767092412,1029,461,568,-0.20872333486110917,3,NOM,0.22653562653562653,0.2900919305413687,0.015711053214599174,0.3957345971563981,0.3424657534246575,0.05918999814282457,0.04789306117423225,0.3585801286495104,0.321982080279096,15.0
app_char_city,Medium,0.5446708463949843,0.31955922865013775,1276,695,581,0.1791610604807379,0,NOM,0.3415233415233415,0.2967313585291113,0.0062952726066911185,0.3293838862559242,0.33972602739726027,0.00029741135927695685,9.480808716287707e-06,0.07188392069134909,0.012878799462575361,4.0
app_char_city,Big,0.5048399106478034,0.33633859253693965,1343,678,665,0.01936024440122732,1,NOM,0.3331695331695332,0.33963227783452504,0.00012412552787506402,0.38270142180094785,0.40821917808219177,0.0059854751074786975,0.015242402483838447,0.07188392069134909,0.012878799462575361,4.0
app_char_city,Large,0.4991735537190083,0.15151515151515152,605,302,303,-0.0033057870416753703,2,NOM,0.1484029484029484,0.15474974463738508,0.0002656162448964927,0.14928909952606634,0.14246575342465753,3.2925766216341874e-05,0.0002422464121371529,0.07188392069134909,0.012878799462575361,4.0
app_char_city,Small,0.4681404421326398,0.1925870272977711,769,360,409,-0.12761109131365447,3,NOM,0.1769041769041769,0.20888661899897856,0.00531218433806656,0.1386255924170616,0.1095890410958904,0.01773007767366933,0.032211899107100136,0.07188392069134909,0.012878799462575361,4.0
app_char_home_status,Owner,0.5232189212575714,0.8682694715752567,3467,1814,1653,0.09294252748478182,0,NOM,0.8914004914004914,0.8442288049029623,0.0025644411171328175,0.9123222748815166,0.9342465753424658,0.002179980329565396,0.0020112571600415614,0.9101638241598438,0.08459292624263041,4.0
app_char_home_status,Rental,0.42015209125475284,0.1317305284247433,526,221,305,-0.32214895046987196,1,NOM,0.10859950859950859,0.1557711950970378,0.01700269100354179,0.08767772511848342,0.06575342465753424,0.017916691576917776,0.021472565172718297,0.9101638241598438,0.08459292624263041,15.0
app_char_cars,Owner,0.5178312554363583,0.8637615827698473,3449,1786,1663,0.07135527810226727,0,NOM,0.8776412776412776,0.8493360572012257,0.0009278227830319973,0.8791469194312796,0.8794520547945206,0.0002716006847526738,3.731778865485178e-06,0.6161263188471476,0.043963864827464415,4.0
app_char_cars,No,0.4577205882352941,0.13623841723015276,544,249,295,-0.1695223972517605,1,NOM,0.12235872235872236,0.15066394279877426,0.0058858245618321325,0.12085308056872038,0.12054794520547946,0.001842200984987707,2.697560352088383e-05,0.6161263188471476,0.043963864827464415,8.0
act_call_cc,1.477 <= act_call_cc,0.631236442516269,0.11545204107187579,461,291,170,0.5375245855286621,0,INT,0.142997542997543,0.08682328907048008,0.02800289488935574,0.1646919431279621,0.2136986301369863,0.01747832990897434,0.028387057381278908,0.42735643747315016,0.22971459192576066,4.0
act_call_cc,0.75 <= act_call_cc < 0.979,0.6302083333333334,0.19233658903080392,768,484,284,0.5331105230543605,1,INT,0.23783783783783785,0.14504596527068436,0.04586419810708582,0.18838862559241706,0.1726027397260274,8.183744641965692e-05,0.02090377859422756,0.42735643747315016,0.22971459192576066,4.0
act_call_cc,0.979 <= act_call_cc < 1.477,0.4864376130198915,0.276984723265715,1106,538,568,-0.05426284874210078,2,INT,0.2643734643734644,0.2900919305413687,0.0023867150924500773,0.3234597156398104,0.34794520547945207,0.007206429499995201,0.02294808553633535,0.42735643747315016,0.22971459192576066,11.0
act_call_cc,act_call_cc < 0.75,0.43546441495778043,0.4152266466316053,1658,722,936,-0.2595903059182214,3,INT,0.3547911547911548,0.4780388151174668,0.03673889041859146,0.3234597156398104,0.26575342465753427,0.02291251614349421,0.0257199742399096,0.42735643747315016,0.22971459192576066,14.0
act_cins_n_loan,act_cins_n_loan < 0.5,0.5584192439862543,0.43726521412471825,1746,975,771,0.23474907029693728,0,INT,0.47911547911547914,0.39376915219611847,0.016739111239600243,0.48933649289099523,0.536986301369863,0.005857297074778938,0.0065977623698016356,0.11488778690286519,0.02696980116392025,4.0
act_cins_n_loan,1.500 <= act_cins_n_loan,0.5423728813559322,0.05910343100425745,236,128,108,0.16989889211959505,1,INT,0.0628992628992629,0.05515832482124617,0.001014868114271647,0.03317535545023697,0.030136986301369864,0.014938783533394525,0.0240493830368179,0.11488778690286519,0.02696980116392025,4.0
