feature,coefficient,term
num__act_ccss_min_seniority,-0.18766239354308858,"-0.187662393543 * ((coalesce(act_ccss_min_seniority, 16.000000000000) - 25.284840244731) / 26.382631999130)"
num__act_call_n_loan,0.36337616695373326,"0.363376166954 * ((coalesce(act_call_n_loan, 1.000000000000) - 2.330387491502) / 1.940206048322)"
num__act_cins_min_seniority,-0.025274541521141176,"-0.025274541521 * ((coalesce(act_cins_min_seniority, 50.000000000000) - 53.664853840925) / 33.917661054926)"
num__act_call_cc,0.3152829299677671,"0.315282929968 * ((coalesce(act_call_cc, 0.681787175989) - 0.828077458174) / 0.515999741783)"
num__act6_n_arrears,0.14242620434191489,"0.142426204342 * ((coalesce(act6_n_arrears, 4.000000000000) - 3.767505098572) / 1.841896051091)"
num__act_ccss_min_pninst,-0.04883325236497182,"-0.048833252365 * ((coalesce(act_ccss_min_pninst, 1.000000000000) - 1.269884432359) / 1.709305097384)"
num__ags12_Min_CMaxC_Days,-0.06899329348577943,"-0.068993293486 * ((coalesce(ags12_Min_CMaxC_Days, 11.000000000000) - 10.935418082937) / 1.723762172827)"
num__act_cins_seniority,0.008189690074108453,"0.008189690074 * ((coalesce(act_cins_seniority, 97.500000000000) - 98.960910944935) / 28.276555020371)"
num__ags3_Max_CMaxA_Due,0.06201750212150284,"0.062017502122 * ((coalesce(ags3_Max_CMaxA_Due, 3.000000000000) - 3.195785180150) / 1.857539045069)"
num__agr3_Max_CMaxA_Due,0.003176345040359447,"0.003176345040 * ((coalesce(agr3_Max_CMaxA_Due, 3.000000000000) - 3.179469748470) / 1.784177757254)"
num__ags12_Mean_CMaxC_Days,-0.06406094714869884,"-0.064060947149 * ((coalesce(ags12_Mean_CMaxC_Days, 14.166666666667) - 14.122713441102) / 0.722698708008)"
num__agr12_Mean_CMaxC_Days,-0.03454201376086193,"-0.034542013761 * ((coalesce(agr12_Mean_CMaxC_Days, 14.333333333333) - 14.301665533651) / 0.359331778952)"
num__agr3_Max_CMaxC_Due,0.05961848374206796,"0.059618483742 * ((coalesce(agr3_Max_CMaxC_Due, 3.000000000000) - 3.205982324949) / 1.704671742054)"
num__agr12_Min_CMaxC_Days,-0.005456907270612526,"-0.005456907271 * ((coalesce(agr12_Min_CMaxC_Days, 11.000000000000) - 10.968728755948) / 1.081505585872)"
num__act3_n_arrears_days,0.04798559863958608,"0.047985598640 * ((coalesce(act3_n_arrears_days, 0.000000000000) - 0.061862678450) / 0.270169391008)"
num__act_ccss_n_statC,-0.4600416105923866,"-0.460041610592 * ((coalesce(act_ccss_n_statC, 0.000000000000) - 1.371176070700) / 3.700123821159)"
num__act_age,-0.406528392967199,"-0.406528392967 * ((coalesce(act_age, 61.000000000000) - 60.444595513256) / 10.316646654211)"
num__eng_act_cc_to_income,0.21232879338916996,"0.212328793389 * ((coalesce((case when missing(app_income) or app_income=0 then . else act_cc/app_income end), 0.000389645380) - 0.000687369597) / 0.000794983209)"
num__eng_app_spending_to_income,0.11596410367589668,"0.115964103676 * ((coalesce((case when missing(app_income) or app_income=0 then . else app_spendings/app_income end), 0.398593200469) - 0.388344487191) / 0.129376385428)"
num__act_cins_n_loans_act,0.022966387974207327,"0.022966387974 * ((coalesce(act_cins_n_loans_act, 1.000000000000) - 1.037389530931) / 0.213328125324)"
num__ags6_Max_CMaxI_Days,-0.036432212805777804,"-0.036432212806 * ((coalesce(ags6_Max_CMaxI_Days, 15.000000000000) - 14.927260367097) / 0.459965460885)"
num__app_number_of_children,-0.38587476944856175,"-0.385874769449 * ((coalesce(app_number_of_children, 0.000000000000) - 0.539768864718) / 0.800842317192)"
num__agr12_Min_CMaxA_Days,-0.030628634145173406,"-0.030628634145 * ((coalesce(agr12_Min_CMaxA_Days, 11.000000000000) - 11.004078857920) / 1.170674858347)"
num__agr9_Min_CMaxC_Due,-0.011652719672151859,"-0.011652719672 * ((coalesce(agr9_Min_CMaxC_Due, 1.000000000000) - 1.065941536370) / 0.910921598370)"
num__app_n_installments,0.06180665262041582,"0.061806652620 * ((coalesce(app_n_installments, 24.000000000000) - 21.046906866077) / 9.987203349549)"
num__ags9_Max_CMaxI_Days,-0.0011104725169397032,"-0.001110472517 * ((coalesce(ags9_Max_CMaxI_Days, 15.000000000000) - 14.966009517335) / 0.369007042012)"
num__missingindicator_act_cins_min_seniority,0.001153085351286224,0.001153085351 * (((case when missing(act_cins_min_seniority) then 1 else 0 end) - 0.071380013596) / 0.257458554442)
num__missingindicator_ags9_Max_CMaxC_Days,-0.0002080473413548623,-0.000208047341 * (((case when missing(ags9_Max_CMaxC_Days) then 1 else 0 end) - 0.623385452073) / 0.484536923481)
num__missingindicator_act_ccss_min_pninst,-0.0069865294973677815,-0.006986529497 * (((case when missing(act_ccss_min_pninst) then 1 else 0 end) - 0.634942216179) / 0.481446360764)
num__missingindicator_act_ccss_dueutl,-0.023713587600744254,-0.023713587601 * (((case when missing(act_ccss_dueutl) then 1 else 0 end) - 0.634942216179) / 0.481446360764)
num__missingindicator_act_ccss_maxdue,-0.02961376415359724,-0.029613764154 * (((case when missing(act_ccss_maxdue) then 1 else 0 end) - 0.634942216179) / 0.481446360764)
num__missingindicator_ags6_Max_CMaxC_Days,-0.034128506432003415,-0.034128506432 * (((case when missing(ags6_Max_CMaxC_Days) then 1 else 0 end) - 0.640380693406) / 0.479888800577)
num__missingindicator_ags6_Max_CMaxA_Due,-0.1958852451735033,-0.195885245174 * (((case when missing(ags6_Max_CMaxA_Due) then 1 else 0 end) - 0.564921821890) / 0.495767240792)
