validation_year,train_period_min,train_period_max,validation_period_min,validation_period_max,train_rows,validation_rows,train_bad_rate,validation_bad_rate,n_features,auc,gini,predicted_pd_mean
1978,197501,197712,197801,197812,523,184,0.5066921606118547,0.43478260869565216,169,0.84375,0.6875,0.4268768156187976
1979,197501,197812,197901,197912,707,164,0.48797736916548795,0.4451219512195122,178,0.812735209995484,0.625470419990968,0.39895961937376445
1980,197501,197912,198001,198012,871,167,0.4799081515499426,0.38922155688622756,180,0.8473604826546004,0.6947209653092008,0.40229400377106117
1981,197501,198012,198101,198112,1038,160,0.4653179190751445,0.375,182,0.8743333333333334,0.7486666666666668,0.3842439736901352
1982,197501,198112,198201,198212,1198,157,0.4532554257095159,0.34394904458598724,178,0.8930240920532183,0.7860481841064366,0.35422962212017267
1983,197501,198212,198301,198312,1355,159,0.44059040590405907,0.2893081761006289,183,0.7574066948826472,0.5148133897652944,0.316230194129168
1984,197501,198312,198401,198412,1514,154,0.4247027741083223,0.37012987012987014,182,0.8495207089889674,0.6990414179779347,0.3719379532640022
1985,197501,198412,198501,198512,1668,145,0.4196642685851319,0.2827586206896552,179,0.8954033771106942,0.7908067542213884,0.3514944045644565
1986,197501,198512,198601,198612,1813,160,0.40871483728626584,0.31875,179,0.8665227558913473,0.7330455117826946,0.35925627086851064
1987,197501,198612,198701,198712,1973,157,0.40141915864166244,0.27388535031847133,175,0.9051407588739291,0.8102815177478582,0.319355819239795
