feature,coefficient,importance
num__act_ccss_n_statC,-1.210650444417911,1.210650444417911
num__act_call_cc,0.8855410007735773,0.8855410007735773
num__app_number_of_children,-0.6252916790950435,0.6252916790950435
num__act_age,-0.5866359575977139,0.5866359575977139
num__act_cins_n_loan,-0.5132559351217917,0.5132559351217917
cat__app_char_gender_Male,0.3885277624536931,0.3885277624536931
num__act_cins_min_seniority,-0.29238760189031004,0.29238760189031004
cat__app_char_home_status_Rental,-0.2918329508712678,0.2918329508712678
cat__app_char_city_Small,-0.25663505653102187,0.25663505653102187
num__agr6_Mean_CMaxA_Due,0.25305606009937154,0.25305606009937154
num__act_ccss_min_lninst,0.24297261158403963,0.24297261158403963
num__act_ccss_n_statB,0.2331106419407397,0.2331106419407397
num__ags12_Min_CMaxA_Days,-0.2276330349986134,0.2276330349986134
cat__app_char_marital_status_Maried,-0.21902513432568144,0.21902513432568144
num__act3_n_arrears_days,0.19894221541576998,0.19894221541576998
num__act_cins_min_pninst,0.19711254382163304,0.19711254382163304
cat__app_char_city_Large,-0.1796216832592044,0.1796216832592044
num__app_income,0.1782335493735898,0.1782335493735898
num__agr6_Min_CMaxA_Due,0.1754327203956335,0.1754327203956335
num__act_ccss_cc,-0.17090760885631606,0.17090760885631606
num__ags3_Mean_CMaxC_Days,0.16676032104040298,0.16676032104040298
num__ags3_Mean_CMaxA_Days,-0.15552368329563748,0.15552368329563748
num__ags3_Max_CMaxA_Days,-0.14710557131143867,0.14710557131143867
num__ags6_Mean_CMaxC_Due,0.1441022059431537,0.1441022059431537
num__act12_n_arrears_days,-0.13923495799815178,0.13923495799815178
num__act_cins_utl,-0.13523857264471303,0.13523857264471303
num__act_ccss_dueutl,0.12881876361369518,0.12881876361369518
num__act_cins_maxdue,0.12585133511672,0.12585133511672
num__agr12_Min_CMaxI_Days,-0.10949332407118194,0.10949332407118194
num__ags12_Max_CMaxI_Days,0.10447600729710625,0.10447600729710625
num__ags12_Min_CMaxI_Days,0.10333320132511457,0.10333320132511457
num__agr6_Mean_CMaxA_Days,0.10252252655593384,0.10252252655593384
num__ags12_Max_CMaxA_Due,0.0952714933063302,0.0952714933063302
cat__app_char_cars_Owner,0.09166723788887371,0.09166723788887371
num__act_ccss_seniority,-0.08530506365354995,0.08530506365354995
num__app_n_installments,0.08360514641919721,0.08360514641919721
num__act_cins_n_loans_act,0.08239213014255686,0.08239213014255686
num__ags12_Mean_CMaxI_Due,0.08225270245138007,0.08225270245138007
num__ags12_Mean_CMaxC_Days,-0.07910951362893197,0.07910951362893197
num__act_ccss_min_seniority,-0.07537027865590357,0.07537027865590357
num__act_loaninc,-0.07002437750874914,0.07002437750874914
num__act3_n_good_days,0.06801344407563546,0.06801344407563546
num__act_ccss_min_pninst,0.061836672833719866,0.061836672833719866
num__ags3_Mean_CMaxC_Due,-0.05807620780697322,0.05807620780697322
num__act_cc,0.05799525064171922,0.05799525064171922
num__agr3_Min_CMaxI_Days,0.0562563850973179,0.0562563850973179
num__agr12_Mean_CMaxC_Days,-0.055858109514465765,0.055858109514465765
num__agr6_Mean_CMaxI_Due,-0.05530249546652711,0.05530249546652711
num__agr12_Mean_CMaxI_Days,-0.05371163073322942,0.05371163073322942
num__ags9_Min_CMaxI_Due,-0.05184632257107797,0.05184632257107797
num__agr12_Max_CMaxA_Due,0.05042082718319414,0.05042082718319414
num__agr3_Min_CMaxA_Due,0.048757974996369836,0.048757974996369836
num__ags3_Max_CMaxI_Due,-0.04524669904009684,0.04524669904009684
num__act_cins_n_statC,-0.04491167978780988,0.04491167978780988
num__act_cins_n_statB,-0.04368361547064604,0.04368361547064604
num__agr6_Max_CMaxC_Days,-0.04296847972030111,0.04296847972030111
num__agr12_Min_CMaxA_Due,-0.04148012253275037,0.04148012253275037
num__ags9_Max_CMaxI_Days,-0.03975557289585664,0.03975557289585664
num__agr12_Max_CMaxI_Days,0.03958629295206668,0.03958629295206668
num__agr12_Mean_CMaxA_Days,-0.037268271898177226,0.037268271898177226
num__app_installment,-0.03678716576734443,0.03678716576734443
num__ags6_Max_CMaxI_Days,-0.03646607783906867,0.03646607783906867
num__agr6_Mean_CMaxC_Days,0.03410880000356999,0.03410880000356999
num__agr12_Max_CMaxI_Due,0.027532394570494095,0.027532394570494095
cat__app_char_city_Medium,-0.02720446185457454,0.02720446185457454
num__ags6_Mean_CMaxI_Due,0.025532701246076966,0.025532701246076966
num__ags12_Min_CMaxA_Due,-0.024641662795630435,0.024641662795630435
num__ags6_Mean_CMaxI_Days,0.02376233192714096,0.02376233192714096
num__ags9_Mean_CMaxI_Days,0.0175448415829763,0.0175448415829763
num__agr9_Min_CMaxA_Due,0.016584525951643538,0.016584525951643538
