Variable,GRP,Definition,Bad_rate,Share,All,Bad,Good
product,0,css,0.5942249240121581,1.0,2632,1564,1068
act_age,0,48.5 <= act_age < 57.5,0.7111111111111111,0.22226443768996962,585,416,169
act_age,1,act_age < 48.5,0.6210526315789474,0.07218844984802432,190,118,72
act_age,2,57.5 <= act_age < 80.5,0.5614849187935035,0.6550151975683891,1724,968,756
act_age,3,80.500 <= act_age,0.46616541353383456,0.05053191489361702,133,62,71
act_cc,0,0.803 <= act_cc,0.927536231884058,0.07864741641337386,207,192,15
act_cc,1,0.523 <= act_cc < 0.728,0.7089627391742196,0.37727963525835867,993,704,289
act_cc,2,0.728 <= act_cc < 0.803,0.5333333333333333,0.0797872340425532,210,112,98
act_cc,3,act_cc < 0.523,0.45499181669394434,0.4642857142857143,1222,556,666
app_income,0,app_income < 583,0.9538461538461539,0.07408814589665653,195,186,9
app_income,1,583 <= app_income < 1065,0.6942446043165468,0.21124620060790272,556,386,170
app_income,2,2153.000 <= app_income,0.6637010676156584,0.2135258358662614,562,373,189
app_income,3,1065 <= app_income < 2153,0.46929492039423804,0.5011398176291794,1319,619,700
app_loan_amount,0,app_loan_amount < inf,0.5942249240121581,1.0,2632,1564,1068
app_n_installments,0,app_n_installments < inf,0.5942249240121581,1.0,2632,1564,1068
app_number_of_children,0,app_number_of_children < 0.5,0.7346767422334173,0.45250759878419455,1191,875,316
app_number_of_children,1,0.5 <= app_number_of_children < 1.5,0.5852895148669797,0.24278115501519756,639,374,265
app_number_of_children,2,1.5 <= app_number_of_children < 2.5,0.48201438848920863,0.21124620060790272,556,268,288
app_number_of_children,3,2.500 <= app_number_of_children,0.1910569105691057,0.09346504559270517,246,47,199
app_installment,0,app_installment < inf,0.5942249240121581,1.0,2632,1564,1068
app_char_branch,0,Empty,0.5942249240121581,1.0,2632,1564,1068
app_char_gender,0,Male,0.7454909819639278,0.18958966565349544,499,372,127
app_char_gender,1,Female,0.5588373183309893,0.8104103343465046,2133,1192,941
app_char_marital_status,0,<OTHERS>,0.8823529411764706,0.006458966565349544,17,15,2
app_char_marital_status,1,Divorced,0.7617021276595745,0.17857142857142858,470,358,112
app_char_marital_status,2,Maried,0.5895039539899353,0.5284954407294833,1391,820,571
app_char_marital_status,3,Widowed,0.4920424403183024,0.2864741641337386,754,371,383
app_char_city,0,Medium,0.6561360874848117,0.3126899696048632,823,540,283
app_char_city,1,Big,0.5872291904218928,0.3332066869300912,877,515,362
app_char_city,2,Large,0.5634517766497462,0.14969604863221886,394,222,172
app_char_city,3,Small,0.533457249070632,0.20440729483282674,538,287,251
app_char_home_status,0,Owner,0.6186630776132795,0.8468844984802432,2229,1379,850
app_char_home_status,1,Rental,0.45905707196029777,0.15311550151975684,403,185,218
app_char_cars,0,Owner,0.6047851129818342,0.8575227963525835,2257,1365,892
app_char_cars,1,No,0.5306666666666666,0.14247720364741642,375,199,176
act_cins_n_loan,0,0.500 <= act_cins_n_loan,0.664785553047404,0.3366261398176292,886,589,297
act_cins_n_loan,1,act_cins_n_loan < 0.5,0.5584192439862543,0.6633738601823708,1746,975,771
act_ccss_n_loan,0,2.5 <= act_ccss_n_loan < 4.5,0.7941176470588235,0.4521276595744681,1190,945,245
act_ccss_n_loan,1,act_ccss_n_loan < 2.5,0.7431693989071039,0.20858662613981763,549,408,141
act_ccss_n_loan,2,4.5 <= act_ccss_n_loan < 5.5,0.7015706806282722,0.07256838905775076,191,134,57
act_ccss_n_loan,3,5.500 <= act_ccss_n_loan,0.10968660968660969,0.26671732522796354,702,77,625
act_cins_min_seniority,0,12.5 <= act_cins_min_seniority < 55.5,0.6885521885521886,0.6770516717325228,1782,1227,555
act_cins_min_seniority,1,act_cins_min_seniority < 12.5,0.5651162790697675,0.16337386018237082,430,243,187
act_cins_min_seniority,2,55.5 <= act_cins_min_seniority < 70.5,0.34946236559139787,0.07066869300911854,186,65,121
act_cins_min_seniority,3,70.500 <= act_cins_min_seniority,0.12393162393162394,0.08890577507598785,234,29,205
act_cins_n_statC,0,act_cins_n_statC < 0.5,0.8,0.055091185410334344,145,116,29
act_cins_n_statC,1,0.5 <= act_cins_n_statC < 1.5,0.7271293375394322,0.24088145896656535,634,461,173
act_cins_n_statC,2,1.5 <= act_cins_n_statC < 3.5,0.5694572217111316,0.41299392097264437,1087,619,468
