variable,definition
act_age,Current account/account-history behavioural feature
act_cc,Current credit-card related behaviour feature
act_loaninc,Current account/account-history behavioural feature
app_income,Application-level numeric descriptor available at application time
app_n_installments,Application-level numeric descriptor available at application time
app_number_of_children,Application-level numeric descriptor available at application time
app_installment,Application-level numeric descriptor available at application time
app_char_gender,Application character variable describing applicant profile (categorical)
app_char_marital_status,Application character variable describing applicant profile (categorical)
app_char_city,Application character variable describing applicant profile (categorical)
app_char_home_status,Application character variable describing applicant profile (categorical)
app_char_cars,Application character variable describing applicant profile (categorical)
act_call_cc,Current call-loan behavioural profile
act_cins_n_loan,Current account/account-history behavioural feature
act_cins_min_seniority,Current account/account-history behavioural feature
act_cins_n_statC,Current account/account-history behavioural feature
act_cins_n_statB,Current account/account-history behavioural feature
act_cins_n_loans_act,Current account/account-history behavioural feature
act_cins_maxdue,Current account/account-history behavioural feature
act_cins_min_pninst,Current account/account-history behavioural feature
act_cins_utl,Current account/account-history behavioural feature
act_cins_cc,Current account/account-history behavioural feature
act_ccss_seniority,Current credit-card related behaviour feature
act_ccss_min_seniority,Current credit-card related behaviour feature
act_ccss_n_statC,Current credit-card related behaviour feature
act_ccss_n_statB,Current credit-card related behaviour feature
act_ccss_min_pninst,Current credit-card related behaviour feature
act_ccss_min_lninst,Current credit-card related behaviour feature
act_ccss_dueutl,Current credit-card related behaviour feature
act_ccss_cc,Current credit-card related behaviour feature
act_cus_active,Current account/account-history behavioural feature
ags3_Max_CMaxI_Days,Historical arrears aggregate/summary feature by horizon window
agr3_Min_CMaxI_Days,Historical arrears aggregate/summary feature by horizon window
ags3_Max_CMaxI_Due,Historical arrears aggregate/summary feature by horizon window
ags3_Mean_CMaxC_Days,Historical arrears aggregate/summary feature by horizon window
ags3_Max_CMaxC_Days,Historical arrears aggregate/summary feature by horizon window
ags3_Mean_CMaxC_Due,Historical arrears aggregate/summary feature by horizon window
agr3_Max_CMaxC_Due,Historical arrears aggregate/summary feature by horizon window
ags3_Mean_CMaxA_Days,Historical arrears aggregate/summary feature by horizon window
ags3_Max_CMaxA_Days,Historical arrears aggregate/summary feature by horizon window
agr3_Min_CMaxA_Due,Historical arrears aggregate/summary feature by horizon window
act3_n_arrears_days,Behavioural account feature
act3_n_good_days,Behavioural account feature
ags6_Mean_CMaxI_Days,Historical arrears aggregate/summary feature by horizon window
agr6_Max_CMaxI_Days,Historical arrears aggregate/summary feature by horizon window
ags6_Max_CMaxI_Days,Historical arrears aggregate/summary feature by horizon window
agr6_Min_CMaxI_Days,Historical arrears aggregate/summary feature by horizon window
agr6_Mean_CMaxI_Due,Historical arrears aggregate/summary feature by horizon window
ags6_Mean_CMaxI_Due,Historical arrears aggregate/summary feature by horizon window
agr6_Min_CMaxI_Due,Historical arrears aggregate/summary feature by horizon window
agr6_Mean_CMaxC_Days,Historical arrears aggregate/summary feature by horizon window
agr6_Max_CMaxC_Days,Historical arrears aggregate/summary feature by horizon window
ags6_Mean_CMaxC_Due,Historical arrears aggregate/summary feature by horizon window
agr6_Mean_CMaxA_Days,Historical arrears aggregate/summary feature by horizon window
agr6_Mean_CMaxA_Due,Historical arrears aggregate/summary feature by horizon window
agr6_Min_CMaxA_Due,Historical arrears aggregate/summary feature by horizon window
ags9_Mean_CMaxI_Days,Historical arrears aggregate/summary feature by horizon window
agr9_Max_CMaxI_Days,Historical arrears aggregate/summary feature by horizon window
ags9_Max_CMaxI_Days,Historical arrears aggregate/summary feature by horizon window
ags9_Min_CMaxI_Days,Historical arrears aggregate/summary feature by horizon window
ags9_Max_CMaxI_Due,Historical arrears aggregate/summary feature by horizon window
ags9_Min_CMaxI_Due,Historical arrears aggregate/summary feature by horizon window
agr9_Min_CMaxC_Days,Historical arrears aggregate/summary feature by horizon window
ags9_Mean_CMaxC_Due,Historical arrears aggregate/summary feature by horizon window
agr9_Max_CMaxA_Days,Historical arrears aggregate/summary feature by horizon window
agr9_Min_CMaxA_Due,Historical arrears aggregate/summary feature by horizon window
agr12_Mean_CMaxI_Days,Historical arrears aggregate/summary feature by horizon window
agr12_Max_CMaxI_Days,Historical arrears aggregate/summary feature by horizon window
ags12_Max_CMaxI_Days,Historical arrears aggregate/summary feature by horizon window
agr12_Min_CMaxI_Days,Historical arrears aggregate/summary feature by horizon window
ags12_Min_CMaxI_Days,Historical arrears aggregate/summary feature by horizon window
ags12_Mean_CMaxI_Due,Historical arrears aggregate/summary feature by horizon window
agr12_Max_CMaxI_Due,Historical arrears aggregate/summary feature by horizon window
agr12_Min_CMaxI_Due,Historical arrears aggregate/summary feature by horizon window
agr12_Mean_CMaxC_Days,Historical arrears aggregate/summary feature by horizon window
ags12_Mean_CMaxC_Days,Historical arrears aggregate/summary feature by horizon window
agr12_Mean_CMaxA_Days,Historical arrears aggregate/summary feature by horizon window
ags12_Max_CMaxA_Days,Historical arrears aggregate/summary feature by horizon window
ags12_Min_CMaxA_Days,Historical arrears aggregate/summary feature by horizon window
agr12_Max_CMaxA_Due,Historical arrears aggregate/summary feature by horizon window
ags12_Max_CMaxA_Due,Historical arrears aggregate/summary feature by horizon window
agr12_Min_CMaxA_Due,Historical arrears aggregate/summary feature by horizon window
ags12_Min_CMaxA_Due,Historical arrears aggregate/summary feature by horizon window
act12_n_arrears_days,Behavioural account feature
act12_n_good_days,Behavioural account feature
eng_app_loan_to_income,engineered ratio app_loan_amount / app_income
eng_app_installment_to_income,engineered ratio app_installment / app_income
eng_app_spending_to_income,engineered ratio app_spendings / app_income
eng_act_loaninc_to_income,engineered ratio act_loaninc / app_income
eng_act_cc_to_income,engineered ratio act_cc / app_income
